#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   1   8   9.9e-16   2.8e-12   43.5   3.8     1    41     1    41     1    55 0.91 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   2   8    0.0016       4.3    3.1   0.0    37    57    63    83    59    89 0.88 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   3   8     9e-63   2.5e-59  199.2   0.2    54   182   136   282   123   288 0.90 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   4   8   1.2e-83   3.3e-80  268.4   1.4   182   332   320   481   317   487 0.94 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   5   8   2.1e-55   5.9e-52  174.8   0.0   332   452   516   642   501   649 0.93 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   6   8     0.014        40   -0.1   0.0   451   470   688   710   683   732 0.77 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   7   8     0.011        31    0.3   0.0   475   489   761   775   757   778 0.90 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   8   8  2.8e-249  7.7e-246  816.6  10.0   489  1004   855  1435   852  1435 0.93 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099200.1-p1      -           1421 1203at5820           -           1004  7.9e-119  396.2  10.5   1   4   6.8e-72   1.9e-68  229.4   4.7     9   434   105   559   100   582 0.79 | transcript=PVX_099200.1 | gene=PVX_099200 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr07:580500-584765(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099200.1-p1      -           1421 1203at5820           -           1004  7.9e-119  396.2  10.5   2   4     1e-26   2.9e-23   79.8   1.0   532   710   835  1007   804  1007 0.90 | transcript=PVX_099200.1 | gene=PVX_099200 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr07:580500-584765(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099200.1-p1      -           1421 1203at5820           -           1004  7.9e-119  396.2  10.5   3   4   1.2e-17   3.3e-14   49.9   0.0   254   337  1007  1093  1005  1104 0.92 | transcript=PVX_099200.1 | gene=PVX_099200 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr07:580500-584765(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
