#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083515.1-p1      -            209 12072at5820          -            169  3.1e-105  347.6   3.7   1   1  8.4e-108  3.9e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12072at5820          -            169   2.4e-28   97.4   1.0   1   4   4.8e-14   2.2e-11   42.2   0.1    35   104    47   119    10   173 0.81 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12072at5820          -            169   2.4e-28   97.4   1.0   2   4      0.93   4.3e+02   -1.0   0.1    41    83   159   198   125   265 0.64 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12072at5820          -            169   2.4e-28   97.4   1.0   3   4      0.49   2.3e+02   -0.1   0.0    61   119   268   327   251   346 0.77 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12072at5820          -            169   2.4e-28   97.4   1.0   4   4   9.6e-17   4.4e-14   51.0   0.0    38   122   374   461   365   470 0.86 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 12072at5820          -            169   2.2e-22   78.0   9.4   1   3   6.1e-09   2.8e-06   25.6   1.2    38   126    51   139    38   155 0.74 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 12072at5820          -            169   2.2e-22   78.0   9.4   2   3   5.9e-18   2.7e-15   54.9   0.5    14   126   166   281   162   300 0.83 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 12072at5820          -            169   2.2e-22   78.0   9.4   3   3      0.18        85    1.2   0.0    88   121   357   391   311   411 0.81 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 12072at5820          -            169   7.3e-12   43.8   5.4   1   2   4.9e-08   2.3e-05   22.6   0.8    22   107    33   119     8   170 0.77 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 12072at5820          -            169   7.3e-12   43.8   5.4   2   2   4.6e-08   2.1e-05   22.7   0.3    35   120   420   515   411   540 0.72 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 12072at5820          -            169   4.9e-10   37.8   4.7   1   1   2.9e-12   1.4e-09   36.4   4.6    10   125   179   290   172   344 0.91 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
