#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093595.1-p1      -            578 6577at5820           -            410  1.3e-186  618.7  26.0   1   4  1.3e-105  7.9e-103  342.7   6.9     1   199     1   218     1   226 0.92 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 6577at5820           -            410  1.3e-186  618.7  26.0   2   4   5.8e-08   3.6e-05   21.1   0.1   198   229   265   296   256   311 0.85 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 6577at5820           -            410  1.3e-186  618.7  26.0   3   4   2.9e-16   1.8e-13   48.4   0.0   223   279   328   393   305   398 0.81 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 6577at5820           -            410  1.3e-186  618.7  26.0   4   4     2e-65   1.3e-62  210.3   7.1   275   410   431   576   421   576 0.89 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095135.1-p1      -            170 6577at5820           -            410   6.5e-20   69.6   0.0   1   1   1.1e-22     7e-20   69.5   0.0     6   173     5   167     1   170 0.88 | transcript=PVX_095135.1 | gene=PVX_095135 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr08:820773-821285(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_220290-t26_1-p1  -            217 6577at5820           -            410   7.4e-20   69.4   0.0   1   1   1.5e-22     9e-20   69.2   0.0     6   176     5   170     1   175 0.89 | transcript=PVX_220290-t26_1 | gene=PVX_220290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000961:234-887(-) | protein_length=217 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_093520.1-p1      -            262 6577at5820           -            410   1.4e-16   58.7   0.3   1   1   2.8e-19   1.7e-16   58.4   0.3     7   175    95   261    90   262 0.87 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123445.1-p1      -            276 6577at5820           -            410   7.1e-16   56.3   0.7   1   1   1.5e-18     9e-16   56.0   0.7     4   174    61   222    58   269 0.88 | transcript=PVX_123445.1 | gene=PVX_123445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr14:1444175-1445005(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091425.1-p1      -            193 6577at5820           -            410   8.9e-13   46.1   0.0   1   1   1.9e-15   1.2e-12   45.7   0.0     7   161    31   176    26   188 0.90 | transcript=PVX_091425.1 | gene=PVX_091425 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=Pv_Sal1_chr09:506146-507236(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084165.1-p1      -            226 6577at5820           -            410   1.6e-12   45.3   0.0   1   1   3.2e-15     2e-12   45.0   0.0     7   177     8   175     4   218 0.88 | transcript=PVX_084165.1 | gene=PVX_084165 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:59247-60936(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 6577at5820           -            410   2.8e-10   37.9   0.0   1   2         2   1.2e+03   -3.8   0.4   281   308    11    38     6    40 0.58 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 6577at5820           -            410   2.8e-10   37.9   0.0   2   2   4.5e-13   2.8e-10   37.9   0.0    91   162   110   182    53   199 0.88 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091445.1-p1      -            167 6577at5820           -            410   3.6e-07   27.6   0.1   1   1   1.2e-08   7.2e-06   23.4   0.1    87   163    61   139     2   161 0.74 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6577at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6577at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6577at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:36 2026
# [ok]
