#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092540.1-p1      -            872 4608at5820           -            541         0 1015.3  88.3   1   5  1.1e-135  9.9e-133  441.8  19.9     1   246     1   262     1   286 0.88 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 4608at5820           -            541         0 1015.3  88.3   2   5      0.15   1.3e+02   -0.9   3.7   433   480   288   336   284   346 0.75 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 4608at5820           -            541         0 1015.3  88.3   3   5    7e-133  6.4e-130  432.6  25.5   191   470   370   679   338   721 0.77 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 4608at5820           -            541         0 1015.3  88.3   4   5       4.6   4.2e+03   -5.8   6.4   190   268   686   763   678   792 0.48 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 4608at5820           -            541         0 1015.3  88.3   5   5   4.3e-48     4e-45  152.7  10.4   460   541   791   872   769   872 0.90 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 4608at5820           -            541   5.7e-22   76.3   0.8   1   2    0.0089       8.2    3.1   0.0    30    81    25    73    15    93 0.82 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 4608at5820           -            541   5.7e-22   76.3   0.8   2   2   2.3e-23   2.1e-20   71.1   0.4   308   446   102   247    92   255 0.83 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 4608at5820           -            541   1.1e-20   72.1   1.0   1   1   2.4e-23   2.2e-20   71.0   1.0   295   449   732   884   697   913 0.87 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 4608at5820           -            541     2e-15   54.7   4.2   1   2    0.0032         3    4.6   0.1    33    82    25    78    13    94 0.78 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 4608at5820           -            541     2e-15   54.7   4.2   2   2     3e-17   2.7e-14   50.9   1.2   314   464   127   272   114   296 0.79 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 4608at5820           -            541   3.8e-13   47.2   8.3   1   3      0.76     7e+02   -3.2   0.2   187   245   466   528   458   546 0.59 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
