#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116745.1-p1      -            641 4787at5820           -            540  2.4e-267  886.1  16.6   1   3  3.5e-162  9.8e-160  530.9   0.0     1   314    16   352    16   356 0.96 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 4787at5820           -            540  2.4e-267  886.1  16.6   2   3   7.6e-65   2.1e-62  209.7  10.3   311   438   374   503   364   509 0.94 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 4787at5820           -            540  2.4e-267  886.1  16.6   3   3   6.2e-46   1.7e-43  147.2   0.3   434   540   520   636   513   636 0.93 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 4787at5820           -            540   5.5e-15   53.1  18.1   1   2   2.4e-16   6.8e-14   49.6  10.3   356   442    86   172    76   188 0.87 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 4787at5820           -            540   5.5e-15   53.1  18.1   2   2   0.00077      0.21    8.3   0.9   434   473   210   250   190   255 0.81 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 4787at5820           -            540   3.1e-13   47.4  40.4   1   3    0.0011      0.31    7.8   2.2    31   121    48   144    18   148 0.70 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 4787at5820           -            540   3.1e-13   47.4  40.4   2   3   1.5e-05    0.0041   14.0   2.9    48   138   141   236   127   264 0.52 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 4787at5820           -            540   3.1e-13   47.4  40.4   3   3   2.9e-12   7.9e-10   36.1  19.7   353   472   413   552   382   597 0.72 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 4787at5820           -            540   7.8e-12   42.8  15.3   1   1   2.8e-14   7.8e-12   42.8  15.3   372   488   128   249   114   279 0.69 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 4787at5820           -            540   4.4e-11   40.3   0.9   1   2   3.4e-13   9.4e-11   39.2   0.5    16    97    57   138    44   146 0.91 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 4787at5820           -            540   4.4e-11   40.3   0.9   2   2    0.0047       1.3    5.7   0.2    13    58   120   165   115   172 0.81 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 4787at5820           -            540   2.4e-10   37.9  12.2   1   4       1.2   3.2e+02   -2.2   1.0   277   321    64   115    42   132 0.53 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 4787at5820           -            540   2.4e-10   37.9  12.2   2   4   8.6e-13   2.4e-10   37.9  12.2   371   428   138   194   125   215 0.76 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 4787at5820           -            540   2.4e-10   37.9  12.2   3   4      0.12        33    1.1   4.4   423   473   221   273   216   287 0.81 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 4787at5820           -            540   2.4e-10   37.9  12.2   4   4       4.2   1.2e+03   -4.0   1.1   491   525   627   661   606   686 0.59 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002745.1-p1      -            272 4787at5820           -            540   4.3e-10   37.0  11.4   1   1   2.3e-12   6.3e-10   36.5  11.4   371   442    93   164    89   217 0.92 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 4787at5820           -            540   1.4e-09   35.3   8.4   1   2      0.21        59    0.2   0.1   286   310    37    61    33    69 0.89 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 4787at5820           -            540   1.4e-09   35.3   8.4   2   2   4.9e-12   1.4e-09   35.3   8.4   372   443   303   374   295   407 0.92 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 4787at5820           -            540   1.3e-08   32.1   6.5   1   2   4.8e-11   1.3e-08   32.1   6.5   353   434    78   160     4   170 0.83 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 4787at5820           -            540   1.3e-08   32.1   6.5   2   2      0.86   2.4e+02   -1.7   0.2   272   297   193   218   173   238 0.63 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091670.1-p1      -            289 4787at5820           -            540   2.2e-07   28.1  22.5   1   1   7.9e-10   2.2e-07   28.1  22.5   355   436    90   177    82   285 0.71 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 4787at5820           -            540   2.3e-07   28.0  12.1   1   2   8.2e-10   2.3e-07   28.0  12.1   370   428    97   155    85   190 0.82 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 4787at5820           -            540   2.3e-07   28.0  12.1   2   2      0.66   1.8e+02   -1.4   2.0   432   486   189   244   159   253 0.54 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 4787at5820           -            540     3e-07   27.6   3.9   1   1     2e-09   5.4e-07   26.8   3.9    16   207  1021  1226  1014  1238 0.80 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092740.1-p1      -            584 4787at5820           -            540   9.9e-06   22.6   1.5   1   1   5.7e-08   1.6e-05   21.9   1.5     2    75    29   105    28   133 0.81 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 4787at5820           -            540   3.6e-05   20.8  26.0   1   2   1.3e-07   3.6e-05   20.8  26.0   363   430   239   307   129   321 0.65 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
