#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114735.1-p1      -            944 1917at5820           -            794         0 1718.1  34.1   1   3   1.3e-06    0.0009   15.6   0.1     1    22     1    22     1    38 0.83 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1917at5820           -            794         0 1718.1  34.1   2   3         0         0 1531.2  15.0    19   687    66   773    53   793 0.96 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1917at5820           -            794         0 1718.1  34.1   3   3   3.7e-55   2.5e-52  176.1   7.5   680   794   803   939   795   939 0.90 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1917at5820           -            794   2.9e-91  304.9   4.5   1   2   1.8e-13   1.2e-10   38.3   0.1   139   272   206   341   195   369 0.81 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1917at5820           -            794   2.9e-91  304.9   4.5   2   2   1.1e-82   7.3e-80  267.2   1.9   345   717   371   761   359   794 0.84 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 1917at5820           -            794   3.1e-91  304.8   1.1   1   2     1e-06   0.00072   15.9   0.0   212   268   255   311   231   322 0.87 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 1917at5820           -            794   3.1e-91  304.8   1.1   2   2   1.5e-88     1e-85  286.6   1.3   333   677   337   679   331   689 0.87 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1917at5820           -            794   7.2e-85  283.8   6.6   1   2   3.4e-19   2.3e-16   57.2   0.4    32   278   189   444   169   448 0.75 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1917at5820           -            794   7.2e-85  283.8   6.6   2   2   9.1e-69   6.3e-66  221.1   1.3   341   671   464   841   449   858 0.79 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 1917at5820           -            794   1.8e-79  265.9   9.9   1   2   1.5e-78   1.1e-75  253.4   3.6   130   572   258   699   233   716 0.80 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 1917at5820           -            794   1.8e-79  265.9   9.9   2   2   3.9e-06    0.0027   14.0   0.3   584   705   770   896   746   935 0.70 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
