#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080670.1-p1      -           1373 1384at5820           -            902         0 1478.7 112.4   1   5   5.9e-78   3.2e-75  252.2  11.8     2   184    75   298    74   300 0.86 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 1384at5820           -            902         0 1478.7 112.4   2   5  1.4e-101   7.7e-99  330.3  13.4   182   383   343   549   332   552 0.97 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 1384at5820           -            902         0 1478.7 112.4   3   5   0.00028      0.16    8.3   0.6   380   400   654   674   650   683 0.86 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 1384at5820           -            902         0 1478.7 112.4   4   5  2.2e-191  1.2e-188  627.5  47.2   393   720   699  1035   685  1078 0.95 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 1384at5820           -            902         0 1478.7 112.4   5   5   1.2e-85   6.8e-83  277.6   9.0   733   902  1189  1373  1186  1373 0.95 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 1384at5820           -            902   7.5e-30  102.1  48.8   1   3   7.2e-18     4e-15   53.3  14.6   560   692     7   135     2   136 0.91 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 1384at5820           -            902   7.5e-30  102.1  48.8   2   3   1.6e-06   0.00087   15.8   1.6   622   671   116   170   114   173 0.85 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 1384at5820           -            902   7.5e-30  102.1  48.8   3   3   5.3e-16   2.9e-13   47.1  20.1   514   677   176   338   174   352 0.84 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 1384at5820           -            902     3e-17   60.3  29.1   1   2   6.5e-10   3.6e-07   27.0   0.8   629   678    44    93    38    95 0.92 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 1384at5820           -            902     3e-17   60.3  29.1   2   2     6e-13   3.3e-10   37.0  22.5   540   676    92   232    88   314 0.83 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 1384at5820           -            902   3.2e-06   23.8  31.3   1   2   2.4e-05     0.013   11.9   6.9   508   602   150   242    93   246 0.63 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 1384at5820           -            902   3.2e-06   23.8  31.3   2   2   1.9e-07   0.00011   18.8  19.5   514   649   226   360   224   370 0.88 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 1384at5820           -            902   3.8e-06   23.6  25.0   1   2   1.7e-05    0.0095   12.4   5.8   630   680    43    93    28   109 0.77 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 1384at5820           -            902   3.8e-06   23.6  25.0   2   2   8.6e-07   0.00048   16.7  11.2   546   666   230   352   221   357 0.85 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 1384at5820           -            902   1.5e-05   21.6  11.4   1   1   9.1e-08   5.1e-05   19.9  11.1   516   631    47   160    39   169 0.75 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
