#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118640.1-p1      -            928 3557at5820           -            694         0 1099.4  77.8   1   3   3.2e-85   2.9e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3557at5820           -            694         0 1099.4  77.8   2   3     9e-05     0.083    9.7   1.1   180   226   320   372   299   376 0.68 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3557at5820           -            694         0 1099.4  77.8   3   3    7e-250  6.5e-247  819.8  50.6   220   694   389   920   379   920 0.92 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3557at5820           -            694   4.3e-49  166.0  22.0   1   5       5.3   4.9e+03   -6.1   2.9   193   246   163   221   143   254 0.47 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3557at5820           -            694   4.3e-49  166.0  22.0   2   5         2   1.9e+03   -4.7   6.7   162   254   333   432   316   454 0.67 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3557at5820           -            694   4.3e-49  166.0  22.0   3   5   5.8e-14   5.3e-11   40.1   2.2    19   162   437   590   426   603 0.77 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3557at5820           -            694   4.3e-49  166.0  22.0   4   5     0.012        11    2.7   0.4   277   321   612   660   603   671 0.76 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3557at5820           -            694   4.3e-49  166.0  22.0   5   5   1.9e-44   1.8e-41  140.8  12.2   338   685   765  1115   755  1127 0.87 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 3557at5820           -            694   1.1e-45  154.7  14.8   1   3   2.6e-11   2.4e-08   31.3   0.4    11   162   556   717   546   729 0.66 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 3557at5820           -            694   1.1e-45  154.7  14.8   2   3     0.017        15    2.2   0.0   277   326   739   787   728   798 0.83 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 3557at5820           -            694   1.1e-45  154.7  14.8   3   3   1.1e-39     1e-36  125.1   6.3   360   685   844  1174   818  1182 0.84 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
