#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079880.1-p1      -            590 5794at5820           -            446  6.2e-261  864.0  24.5   1   3  1.2e-143  1.1e-140  467.7   2.7     1   239     1   243     1   247 0.98 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 5794at5820           -            446  6.2e-261  864.0  24.5   2   3   9.2e-79   8.5e-76  253.8   0.8   238   366   274   403   267   426 0.94 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 5794at5820           -            446  6.2e-261  864.0  24.5   3   3   8.6e-46     8e-43  145.1   6.5   362   446   482   585   478   585 0.85 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 5794at5820           -            446   1.3e-13   48.8   7.8   1   5   7.1e-05     0.066   10.2   0.1    16    72    13    70     1    85 0.84 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 5794at5820           -            446   1.3e-13   48.8   7.8   2   5   9.5e-05     0.088    9.8   0.1    16    72    89   146    77   150 0.83 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 5794at5820           -            446   1.3e-13   48.8   7.8   3   5   8.9e-05     0.082    9.9   0.1    16    72   165   222   151   226 0.83 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 5794at5820           -            446   1.3e-13   48.8   7.8   4   5   8.5e-05     0.078   10.0   0.0    16    72   241   298   226   303 0.84 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 5794at5820           -            446   1.3e-13   48.8   7.8   5   5   9.5e-05     0.088    9.8   0.0    16    72   317   374   304   377 0.83 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 5794at5820           -            446     1e-10   39.3  13.5   1   3   5.9e-06    0.0055   13.8   3.1   109   205   340   440   289   483 0.67 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 5794at5820           -            446     1e-10   39.3  13.5   2   3   0.00019      0.17    8.9   0.3   272   309   612   650   597   666 0.76 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 5794at5820           -            446     1e-10   39.3  13.5   3   3   1.6e-08   1.4e-05   22.3   0.1   350   412   814   872   764   879 0.78 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 5794at5820           -            446   3.8e-10   37.4   9.9   1   2   3.4e-05     0.032   11.3   0.3   110   143  1240  1273  1216  1315 0.79 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 5794at5820           -            446   3.8e-10   37.4   9.9   2   2   2.1e-10     2e-07   28.5   3.9   334   418  1504  1580  1360  1592 0.74 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 5794at5820           -            446   1.1e-05   22.7   0.1   1   2   6.4e-07   0.00059   17.0   0.0   104   179   323   411   314   445 0.60 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 5794at5820           -            446   1.1e-05   22.7   0.1   2   2     0.012        11    2.9   0.0   369   416  1259  1301  1245  1312 0.77 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 5794at5820           -            446    0.0036   14.4   0.0   1   1   4.2e-06    0.0039   14.3   0.0    15    72    12    70     1    85 0.83 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5794at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5794at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5794at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:19 2026
# [ok]
