#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079955.1-p1      -            301 11117at5820          -            234  1.8e-112  372.6  49.8   1   2  8.2e-100   4.1e-97  322.4  40.0     1   180     8   197     8   208 0.93 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 11117at5820          -            234  1.8e-112  372.6  49.8   2   2   4.6e-18   2.3e-15   54.8   3.1   163   230   205   289   196   301 0.77 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11117at5820          -            234     5e-27   93.0  47.8   1   3     1e-29     5e-27   93.0  47.8    23   170    89   237    85   245 0.94 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11117at5820          -            234     5e-27   93.0  47.8   2   3   5.9e-06     0.003   15.2  25.1    31   153   193   317   193   323 0.80 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11117at5820          -            234     5e-27   93.0  47.8   3   3      0.24   1.2e+02    0.1   2.4    14    51   300   337   291   343 0.81 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 11117at5820          -            234   1.3e-23   81.8  36.9   1   1   3.4e-26   1.7e-23   81.4  35.3    18   154    67   204    55   265 0.86 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 11117at5820          -            234   1.7e-12   45.4  35.8   1   2    0.0019      0.94    7.0   1.2    44    59    42    57    25    61 0.71 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 11117at5820          -            234   1.7e-12   45.4  35.8   2   2   1.2e-14   6.3e-12   43.6  28.1    27   109    59   143    56   158 0.86 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 11117at5820          -            234   3.7e-12   44.3  35.5   1   2     0.003       1.5    6.3   0.9    44    59    42    57    36    60 0.66 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 11117at5820          -            234   3.7e-12   44.3  35.5   2   2   3.1e-14   1.6e-11   42.3  28.5    27   109    59   143    57   160 0.86 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 11117at5820          -            234   4.3e-12   44.1  35.6   1   2    0.0026       1.3    6.5   0.9    44    59    42    57    25    60 0.72 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
