#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   1  14   6.3e-43   3.5e-39  132.4   1.0     1    85     1    87     1    95 0.94 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   2  14   2.8e-87   1.6e-83  279.5  18.6    83   257   129   328   121   333 0.93 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   3  14   9.4e-51   5.2e-47  158.4  14.9   256   422   359   576   349   585 0.80 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   4  14   8.9e-25   4.9e-21   72.2   1.0   427   496   621   702   611   706 0.82 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   5  14   1.4e-91   7.9e-88  293.7  26.2   495   701   730   943   728   948 0.96 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   6  14   2.3e-32   1.3e-28   97.4  12.4   702   819   982  1126   980  1152 0.80 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   7  14   2.5e-33   1.4e-29  100.6   5.3   830   933  1216  1336  1200  1344 0.78 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   8  14   1.5e-69   8.2e-66  220.7  10.1   919  1078  1382  1561  1378  1584 0.87 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7   9  14   4.8e-44   2.6e-40  136.1   2.8  1089  1187  1617  1719  1614  1723 0.93 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7  10  14   1.3e-61   7.3e-58  194.4  16.0  1186  1296  1791  1901  1788  1906 0.98 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7  11  14  1.9e-114    1e-110  369.6  44.5  1291  1564  1932  2254  1926  2275 0.90 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7  12  14   1.9e-05       0.1    8.1   0.0  1562  1586  2307  2331  2302  2337 0.92 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7  13  14  7.5e-145  4.1e-141  470.4  23.4  1587  1903  2404  2755  2393  2758 0.91 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114922.1-p1      -           3000 225at5820            -           2082         0 2815.3 288.7  14  14  2.5e-108  1.4e-104  349.3  16.6  1902  2082  2811  2997  2805  2997 0.97 | transcript=PVX_114922.1 | gene=PVX_114922 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:511491-520493(+) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/225at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/225at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/225at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:59 2026
# [ok]
