#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   1   7     3e-35   4.2e-33  112.7   9.8     1    81     9    92     9   107 0.94 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   2   7   4.1e-39   5.6e-37  125.5   1.2    75   147   258   330   229   344 0.87 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   3   7   1.4e-62     2e-60  203.1   6.8   143   252   443   552   427   561 0.94 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   4   7   7.2e-36   9.9e-34  114.8   6.0   226   331   640   751   629   754 0.86 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   5   7   1.3e-18   1.7e-16   57.7   0.4   329   375  1006  1053   998  1076 0.79 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   6   7  4.9e-141  6.7e-139  462.7   6.6   380   594  1141  1355  1122  1362 0.97 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1427at5820           -            861         0 1623.2  74.2   7   7  3.8e-176  5.2e-174  578.9   0.4   594   861  1464  1736  1458  1736 0.98 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 1427at5820           -            861   3.5e-23   79.9   0.3   1   1   4.2e-25   5.8e-23   79.2   0.3   657   831   555   723   519   734 0.88 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 1427at5820           -            861     2e-22   77.4   0.0   1   1   1.9e-24   2.6e-22   77.0   0.0   659   837    87   265    76   279 0.86 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 1427at5820           -            861     3e-22   76.8   1.3   1   1   3.9e-24   5.4e-22   76.0   1.3   629   830  1235  1427  1210  1441 0.81 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 1427at5820           -            861   6.8e-22   75.6   1.1   1   2         4   5.5e+02   -3.4   0.1   523   548   102   127    94   142 0.71 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 1427at5820           -            861   6.8e-22   75.6   1.1   2   2   4.9e-24   6.8e-22   75.6   1.1   640   834   166   353   147   361 0.81 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 1427at5820           -            861   1.5e-21   74.5  22.1   1   4     0.034       4.6    3.4   1.6   164   199    13    48     7    54 0.87 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 1427at5820           -            861   1.5e-21   74.5  22.1   2   4       5.1     7e+02   -3.8   0.7   165   193    91   120    67   136 0.72 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 1427at5820           -            861   1.5e-21   74.5  22.1   3   4   0.00015     0.021   11.2   4.7   433   551   662   780   648   796 0.82 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
