#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   1  16   2.8e-22   7.7e-19   65.2   0.2    13   125    34   184     9   189 0.79 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   2  16    0.0078        22    0.7   0.0   131   149   238   256   229   261 0.82 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   3  16   7.7e-21   2.1e-17   60.4   0.0   147   206   307   367   301   369 0.94 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   4  16   2.5e-26   6.8e-23   78.6   0.5   212   278   452   518   439   527 0.91 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   5  16   3.9e-23   1.1e-19   68.0   0.0   280   328   549   597   546   600 0.95 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   6  16     3e-20   8.2e-17   58.5   0.0   329   386   654   721   648   730 0.82 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   7  16   2.4e-38   6.8e-35  118.4   0.0   382   469   750   841   747   847 0.93 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   8  16   4.2e-40   1.2e-36  124.3   0.1   470   587   873  1010   865  1073 0.79 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   9  16     0.035        97   -1.4   0.0   621   653  1119  1160  1114  1166 0.75 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  10  16   1.8e-07   0.00051   16.1   0.0   653   700  1191  1246  1181  1257 0.74 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  11  16   6.2e-21   1.7e-17   60.7   0.4   703   756  1285  1351  1278  1354 0.87 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
