#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   1  16  4.9e-189  2.7e-185  616.5  42.9     1   344     1   364     1   371 0.95 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   2  16     2e-38   1.1e-34  116.8   6.8   345   467   462   613   455   622 0.84 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   3  16     0.037   2.1e+02   -3.5   0.0   467   483   661   677   659   679 0.90 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   4  16     1e-61   5.7e-58  194.1  19.0   509   747   797  1143   741  1149 0.75 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   5  16   9.5e-26   5.2e-22   74.8   1.4   753   830  1224  1303  1191  1306 0.84 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   6  16  5.8e-117  3.2e-113  377.4  24.3   827  1074  1325  1599  1318  1601 0.90 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   7  16   7.2e-60     4e-56  188.0   4.9  1074  1195  1654  1779  1651  1783 0.96 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   8  16   5.7e-54   3.2e-50  168.4  11.3  1195  1322  1824  1962  1820  1966 0.89 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2   9  16   1.3e-71   6.9e-68  227.0  10.4  1318  1446  2007  2144  1989  2151 0.90 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2  10  16    1e-122  5.7e-119  396.5  24.6  1444  1719  2204  2542  2201  2547 0.88 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084440.1-p1      -           4216 92at5820             -           2904         0 4332.5 363.2  11  16  1.3e-234    7e-231  767.8  41.7  1719  2137  2640  3078  2638  3082 0.95 | transcript=PVX_084440.1 | gene=PVX_084440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:292897-306192(+) | protein_length=4216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
