#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116855.1-p1      -            219 11834at5820          -            174   4.9e-96  317.7  17.9   1   2   1.5e-08   1.4e-05   23.2   0.2     1    25     1    26     1    36 0.80 | transcript=PVX_116855.1 | gene=PVX_116855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1338773-1339859(+) | protein_length=219 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116855.1-p1      -            219 11834at5820          -            174   4.9e-96  317.7  17.9   2   2   1.1e-92   9.9e-90  297.2  13.2    16   174    44   217    34   217 0.93 | transcript=PVX_116855.1 | gene=PVX_116855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1338773-1339859(+) | protein_length=219 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097560.1-p1      -            379 11834at5820          -            174   5.1e-05   21.4   0.2   1   2   5.6e-08   5.1e-05   21.4   0.2    99   158    83   142    46   155 0.83 | transcript=PVX_097560.1 | gene=PVX_097560 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysophospholipase, putative | transcript_product=lysophospholipase, putative | location=Pv_Sal1_chr10:1366189-1367328(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097560.1-p1      -            379 11834at5820          -            174   5.1e-05   21.4   0.2   2   2      0.88   8.1e+02   -2.1   0.5    21    51   252   283   245   333 0.64 | transcript=PVX_097560.1 | gene=PVX_097560 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysophospholipase, putative | transcript_product=lysophospholipase, putative | location=Pv_Sal1_chr10:1366189-1367328(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_203290-t26_1-p1  -            387 11834at5820          -            174   5.3e-05   21.3   0.2   1   2   5.8e-08   5.3e-05   21.3   0.2    99   158    83   142    46   155 0.83 | transcript=PVX_203290-t26_1 | gene=PVX_203290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000751:197-1356(+) | protein_length=387 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_203290-t26_1-p1  -            387 11834at5820          -            174   5.3e-05   21.3   0.2   2   2      0.91   8.4e+02   -2.1   0.5    21    51   252   283   245   333 0.64 | transcript=PVX_203290-t26_1 | gene=PVX_203290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000751:197-1356(+) | protein_length=387 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_118700.1-p1      -            571 11834at5820          -            174   8.6e-05   20.7   1.3   1   1   2.6e-07   0.00024   19.2   1.3    88   159    92   164    62   184 0.74 | transcript=PVX_118700.1 | gene=PVX_118700 | organism=Plasmodium_vivax_Sal-1 | gene_product=PST-A protein | transcript_product=PST-A protein | location=Pv_Sal1_chr12:2998694-3000409(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 11834at5820          -            174   0.00056   18.0   0.9   1   1   8.7e-07    0.0008   17.5   0.9    54   125    35   118    10   149 0.75 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_112700-t26_1-p1  -            403 11834at5820          -            174    0.0042   15.1   1.0   1   1   7.8e-06    0.0072   14.4   1.0    91   169    77   153    39   160 0.75 | transcript=PVX_112700-t26_1 | gene=PVX_112700 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000025:73862-75073(+) | protein_length=403 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11834at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11834at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11834at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:50 2026
# [ok]
