#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124165.1-p1      -            445 7422at5820           -            352  4.8e-180  596.7  11.3   1   2  4.3e-183    6e-180  596.4   9.2     1   338     1   399     1   408 0.94 | transcript=PVX_124165.1 | gene=PVX_124165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2103618-2104955(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124165.1-p1      -            445 7422at5820           -            352  4.8e-180  596.7  11.3   2   2      0.53   7.3e+02   -2.5   0.0   339   352   428   441   425   441 0.88 | transcript=PVX_124165.1 | gene=PVX_124165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2103618-2104955(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 7422at5820           -            352   0.00011   19.9   8.6   1   5    0.0013       1.8    6.1   0.1   197   303    56   165    34   175 0.60 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 7422at5820           -            352   0.00011   19.9   8.6   2   5      0.56   7.8e+02   -2.6   0.0    88   110   186   208   168   215 0.77 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 7422at5820           -            352   0.00011   19.9   8.6   3   5      0.12   1.7e+02   -0.3   0.9    88   147   393   453   356   466 0.74 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 7422at5820           -            352   0.00011   19.9   8.6   4   5     0.062        86    0.6   0.2    41    92   427   477   421   484 0.76 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 7422at5820           -            352   0.00011   19.9   8.6   5   5   3.1e-06    0.0043   14.7   0.1    81   147   510   578   483   582 0.80 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 7422at5820           -            352   0.00032   18.4   1.7   1   4   9.9e-05      0.14    9.8   0.0   254   295   106   150    92   162 0.80 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 7422at5820           -            352   0.00032   18.4   1.7   2   4     0.012        16    3.0   0.4   270   305   167   203   146   211 0.77 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 7422at5820           -            352   0.00032   18.4   1.7   3   4      0.39   5.4e+02   -2.0   0.0   278   304   217   244   210   256 0.79 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 7422at5820           -            352   0.00032   18.4   1.7   4   4     0.014        20    2.7   0.0    48    94   266   316   252   319 0.72 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
