#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111590.1-p1      -            874 3500at5820           -            687         0 1214.1  93.0   1   3  2.1e-252    2e-249  828.3  51.5     1   423     1   465     1   477 0.91 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 3500at5820           -            687         0 1214.1  93.0   2   3     6e-16   5.5e-13   46.8  12.4   420   487   509   585   498   616 0.75 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 3500at5820           -            687         0 1214.1  93.0   3   3  1.5e-106  1.4e-103  346.2  13.1   484   686   663   872   635   873 0.95 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 3500at5820           -            687   1.1e-13   49.1   0.0   1   2   9.9e-14   9.2e-11   39.5   0.0    74   214    20   156    12   178 0.88 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 3500at5820           -            687   1.1e-13   49.1   0.0   2   2   0.00054      0.49    7.3   0.0   128   235   183   291   173   310 0.68 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 3500at5820           -            687   1.4e-09   35.5  17.7   1   3   1.5e-10   1.4e-07   29.0   5.3    77   234    80   228    52   233 0.80 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 3500at5820           -            687   1.4e-09   35.5  17.7   2   3    0.0062       5.7    3.8   0.1    74   105   234   263   228   286 0.78 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 3500at5820           -            687   1.4e-09   35.5  17.7   3   3   0.00015      0.14    9.1   1.6   139   209   350   414   339   431 0.76 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 3500at5820           -            687   3.6e-08   30.9   1.8   1   2     0.066        61    0.4   0.1   515   559  1317  1360  1271  1362 0.76 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 3500at5820           -            687   3.6e-08   30.9   1.8   2   2   1.6e-10   1.5e-07   28.8   0.2   128   254  1429  1549  1419  1564 0.84 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 3500at5820           -            687   4.5e-05   20.7   3.6   1   3       1.8   1.7e+03   -4.4   1.3    17    30    19    32     9    67 0.47 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 3500at5820           -            687   4.5e-05   20.7   3.6   2   3     0.013        12    2.7   3.4    40   142   157   265   143   287 0.66 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 3500at5820           -            687   4.5e-05   20.7   3.6   3   3   4.8e-08   4.5e-05   20.7   3.6   134   235   318   414   253   436 0.72 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 3500at5820           -            687   4.5e-05   20.7   3.4   1   3       2.2     2e+03   -4.6   1.3    17    30    19    32     9    65 0.46 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 3500at5820           -            687   4.5e-05   20.7   3.4   2   3     0.014        13    2.6   3.4    40   142   157   265   142   287 0.66 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 3500at5820           -            687   4.5e-05   20.7   3.4   3   3   4.9e-08   4.5e-05   20.7   3.4   134   235   318   414   253   435 0.72 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3500at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:04 2026
# [ok]
