#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119350.1-p1      -            168 13466at5820          -            130     3e-72  238.8   5.5   1   1   5.8e-75   6.4e-72  237.7   5.5    15   130    53   168    27   168 0.95 | transcript=PVX_119350.1 | gene=PVX_119350 | organism=Plasmodium_vivax_Sal-1 | gene_product=1-cys-glutaredoxin-like protein-1, putative | transcript_product=1-cys-glutaredoxin-like protein-1, putative | location=Pv_Sal1_chr08:1540284-1541168(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113510.1-p1      -            220 13466at5820          -            130   3.3e-29   99.6   0.1   1   1   4.7e-32   5.2e-29   98.9   0.1    33   129   118   213    95   214 0.92 | transcript=PVX_113510.1 | gene=PVX_113510 | organism=Plasmodium_vivax_Sal-1 | gene_product=glutaredoxin-like protein, putative | transcript_product=glutaredoxin-like protein, putative | location=Pv_Sal1_chr11:1745241-1745903(+) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087990.1-p1      -            333 13466at5820          -            130   1.4e-25   87.8   0.4   1   2       1.8     2e+03   -3.2   0.0    26    39    81    94    69   104 0.59 | transcript=PVX_087990.1 | gene=PVX_087990 | organism=Plasmodium_vivax_Sal-1 | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=Pv_Sal1_chr01:341247-342248(-) | protein_length=333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087990.1-p1      -            333 13466at5820          -            130   1.4e-25   87.8   0.4   2   2   2.3e-28   2.5e-25   87.0   0.1    27   128   228   329   210   331 0.92 | transcript=PVX_087990.1 | gene=PVX_087990 | organism=Plasmodium_vivax_Sal-1 | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=Pv_Sal1_chr01:341247-342248(-) | protein_length=333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119440.1-p1      -            110 13466at5820          -            130   1.8e-05   22.8   1.4   1   1     2e-08   2.2e-05   22.5   1.4    32   129     8   103     4   104 0.81 | transcript=PVX_119440.1 | gene=PVX_119440 | organism=Plasmodium_vivax_Sal-1 | gene_product=glutaredoxin 1, putative | transcript_product=glutaredoxin 1, putative | location=Pv_Sal1_chr08:1464590-1465512(+) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080650.1-p1      -            622 13466at5820          -            130       3.1    5.9  10.6   1   4      0.53   5.8e+02   -1.5   0.1    30    79    77   131    70   157 0.62 | transcript=PVX_080650.1 | gene=PVX_080650 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=Pv_Sal1_chr10:822671-824732(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080650.1-p1      -            622 13466at5820          -            130       3.1    5.9  10.6   2   4   0.00026      0.28    9.2   0.5    68   112   175   219   172   222 0.94 | transcript=PVX_080650.1 | gene=PVX_080650 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=Pv_Sal1_chr10:822671-824732(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080650.1-p1      -            622 13466at5820          -            130       3.1    5.9  10.6   3   4      0.38   4.3e+02   -1.0   0.0    71   103   235   272   221   279 0.59 | transcript=PVX_080650.1 | gene=PVX_080650 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=Pv_Sal1_chr10:822671-824732(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080650.1-p1      -            622 13466at5820          -            130       3.1    5.9  10.6   4   4      0.09     1e+02    1.0   0.2    74   120   444   494   379   500 0.74 | transcript=PVX_080650.1 | gene=PVX_080650 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=Pv_Sal1_chr10:822671-824732(+) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13466at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:22 2026
# [ok]
