#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080240.1-p1      -            701 5024at5820           -            513  1.3e-268  890.1  63.4   1   2    6e-116  5.6e-113  376.7  31.5     9   257    68   315    54   334 0.77 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080240.1-p1      -            701 5024at5820           -            513  1.3e-268  890.1  63.4   2   2  3.8e-158  3.5e-155  515.9  25.5   198   513   365   701   318   701 0.81 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 5024at5820           -            513     5e-12   43.6   4.0   1   6     0.023        21    1.9   0.1   157   177    52    72     8    78 0.68 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 5024at5820           -            513     5e-12   43.6   4.0   2   6   1.9e-13   1.8e-10   38.5   0.6   277   357    88   170    80   172 0.82 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 5024at5820           -            513     5e-12   43.6   4.0   3   6     0.081        75    0.1   0.0   391   408   178   195   176   212 0.84 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 5024at5820           -            513     5e-12   43.6   4.0   4   6   4.6e-06    0.0042   14.1   0.1   458   513   222   279   213   279 0.85 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 5024at5820           -            513     5e-12   43.6   4.0   5   6       1.4   1.3e+03   -3.9   2.4    55    77   306   330   296   371 0.73 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 5024at5820           -            513     5e-12   43.6   4.0   6   6       0.3   2.8e+02   -1.8   0.1   373   413   350   388   343   408 0.70 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 5024at5820           -            513   1.5e-08   32.2  11.9   1   4      0.37   3.4e+02   -2.1   0.7    47    73   515   540   508   548 0.75 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 5024at5820           -            513   1.5e-08   32.2  11.9   2   4    0.0001     0.093    9.7   0.3   155   195   801   842   784   876 0.75 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 5024at5820           -            513   1.5e-08   32.2  11.9   3   4   0.00012      0.11    9.4   1.3   275   372   865   965   837   999 0.69 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 5024at5820           -            513   1.5e-08   32.2  11.9   4   4   1.8e-07   0.00016   18.8   0.0   456   513  1013  1071   999  1071 0.88 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 5024at5820           -            513     3e-07   27.8  21.2   1   5         4   3.7e+03   -5.5   7.2   199   241    53    95    19   131 0.45 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 5024at5820           -            513     3e-07   27.8  21.2   2   5     0.052        48    0.8   0.9   153   236   155   237   145   268 0.56 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 5024at5820           -            513     3e-07   27.8  21.2   3   5   3.2e-10     3e-07   27.8  21.2   192   362   263   444   246   494 0.68 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 5024at5820           -            513     3e-07   27.8  21.2   4   5     0.006       5.6    3.8   0.1   454   486   491   523   476   537 0.76 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 5024at5820           -            513     3e-07   27.8  21.2   5   5     0.015        14    2.5   0.2   176   202   509   535   495   567 0.43 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 5024at5820           -            513   2.9e-06   24.6   1.8   1   3     0.028        26    1.6   0.1   153   182    52    81    12   101 0.72 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 5024at5820           -            513   2.9e-06   24.6   1.8   2   3     6e-08   5.5e-05   20.4   0.1   279   356   109   186    75   189 0.83 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 5024at5820           -            513   2.9e-06   24.6   1.8   3   3     0.063        58    0.5   0.0   484   512   271   300   228   301 0.77 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 5024at5820           -            513   1.2e-05   22.6   1.2   1   2    0.0002      0.18    8.7   0.1   270   331   585   660   533   679 0.73 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
