#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   1   8   1.2e-06    0.0032   14.5   0.1     1    22    19    40    19    43 0.94 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   2   8   5.9e-44   1.6e-40  137.6   0.0    23    99    68   144    65   151 0.96 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   3   8   6.8e-36   1.9e-32  111.0   0.0    98   177   167   246   162   251 0.96 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   4   8   1.4e-33   3.7e-30  103.4   0.1   179   268   286   382   280   391 0.92 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   5   8   7.8e-58   2.2e-54  183.5   1.1   268   414   414   584   391   587 0.83 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   6   8   2.3e-26   6.4e-23   79.5   0.0   421   486   654   722   649   726 0.93 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   7   8   1.5e-16   4.1e-13   47.1   0.0   467   524   742   806   737   808 0.78 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001755.1-p1      -            950 2641at5820           -            590  2.6e-218  724.8  16.8   8   8   8.8e-18   2.4e-14   51.2   0.0   526   585   854   919   850   923 0.84 | transcript=PVX_001755.1 | gene=PVX_001755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:112589-115726(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 2641at5820           -            590   0.00012   19.2   2.1   1   5      0.24   6.5e+02   -3.1   5.6   245   322    99   177    84   192 0.77 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 2641at5820           -            590   0.00012   19.2   2.1   2   5      0.03        82   -0.1   2.9   185   238   237   290   226   302 0.79 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 2641at5820           -            590   0.00012   19.2   2.1   3   5   0.00021      0.58    7.0   2.5   297   344   413   460   381   479 0.75 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
