#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   1  10    0.0035        19    1.0   0.8     9    40    43    75    37    86 0.81 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   2  10   2.6e-21   1.4e-17   61.1   8.5     5    88    69   155    64   191 0.78 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   3  10   1.5e-39   8.5e-36  121.4   4.1   111   198   286   376   263   399 0.81 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   4  10   1.7e-14   9.1e-11   38.5   4.9   194   297   407   511   394   521 0.75 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   5  10     0.097   5.4e+02   -3.8   0.1   256   275   550   568   548   573 0.84 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   6  10   1.8e-56   9.9e-53  177.4   3.2   302   412   648   758   644   768 0.97 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   7  10    0.0052        29    0.5   1.8   381   452   779   857   765   893 0.78 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   8  10   8.3e-07    0.0046   13.0   0.4   438   489   938   989   919  1027 0.75 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6   9  10     5e-53   2.8e-49  166.0   1.9   498   653  1229  1401  1173  1416 0.82 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091745.1-p1      -           1900 947at5820            -            969         0 1135.3  90.6  10  10  9.9e-185  5.5e-181  601.9   6.4   675   969  1593  1900  1552  1900 0.91 | transcript=PVX_091745.1 | gene=PVX_091745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:772455-778157(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/947at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:18 2026
# [ok]
