#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   1  11   4.6e-42   2.5e-38  129.8  30.9     2    93    42   134    41   156 0.89 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   2  11         0         0 1076.2 116.6    74   680   254   887   243   916 0.93 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   3  11     5e-05      0.28    7.0   5.7   700   769  1106  1198  1084  1204 0.76 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   4  11   9.9e-24   5.5e-20   69.0   9.8   756   839  1231  1326  1194  1337 0.79 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   5  11   8.9e-67   4.9e-63  211.7  23.8   835  1008  1373  1560  1347  1588 0.81 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   6  11   1.8e-15     1e-11   41.6  21.3   994  1071  1876  1958  1816  1973 0.61 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   7  11   5.4e-06      0.03   10.2   2.1  1031  1087  2027  2083  2018  2096 0.74 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   8  11   3.4e-14   1.9e-10   37.4   8.4  1063  1130  2091  2158  2083  2174 0.83 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6   9  11   2.2e-18   1.2e-14   51.3  10.2  1114  1209  2199  2304  2170  2316 0.73 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6  10  11   7.6e-06     0.042    9.7  31.0  1184  1290  2333  2444  2319  2517 0.67 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117240.1-p1      -           2952 381at5820            -           1663         0 2285.2 406.6  11  11  2.3e-212  1.3e-208  694.3  73.8  1242  1663  2513  2945  2501  2945 0.92 | transcript=PVX_117240.1 | gene=PVX_117240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1695279-1704662(-) | protein_length=2952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/381at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:49 2026
# [ok]
