#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119415.1-p1      -            896 3773at5820           -            743         0 1235.4  19.0   1   1         0         0 1233.7  19.0     1   742     1   875     1   876 0.83 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089735.1-p1      -            231 3773at5820           -            743   6.1e-06   23.1   0.0   1   1   2.1e-08   9.1e-06   22.5   0.0   344   446     7   107     2   114 0.73 | transcript=PVX_089735.1 | gene=PVX_089735 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 1, putative | transcript_product=adenylate kinase 1, putative | location=Pv_Sal1_chr05:793356-794051(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094660.1-p1      -            242 3773at5820           -            743   1.3e-05   22.0   0.1   1   2     3e-08   1.3e-05   22.0   0.1   345   445    30   124    19   137 0.83 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094660.1-p1      -            242 3773at5820           -            743   1.3e-05   22.0   0.1   2   2       1.4   6.2e+02   -3.4   0.3   666   705   181   220   176   225 0.59 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 3773at5820           -            743     0.004   13.8   0.6   1   2     0.014       6.1    3.2   0.1   346   370   513   537   499   568 0.85 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 3773at5820           -            743     0.004   13.8   0.6   2   2   0.00043      0.18    8.3   0.1   337   375   824   862   818   867 0.86 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099590.1-p1      -            409 3773at5820           -            743     0.005   13.4   1.1   1   1   1.7e-05    0.0071   12.9   1.1   457   493    77   113    23   152 0.48 | transcript=PVX_099590.1 | gene=PVX_099590 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=Pv_Sal1_chr07:899007-900236(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 3773at5820           -            743     0.024   11.2  48.1   1   2   0.00013     0.057   10.0  39.1   455   584   114   242   106   253 0.58 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 3773at5820           -            743     0.024   11.2  48.1   2   2    0.0027       1.1    5.6   1.6   458   485  1085  1111  1050  1146 0.54 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 3773at5820           -            743      0.27    7.7  27.7   1   2    0.0034       1.4    5.3   4.1   425   502    50   132     2   193 0.55 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 3773at5820           -            743      0.27    7.7  27.7   2   2   0.00035      0.15    8.6  15.8   460   517   246   313   224   352 0.49 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 3773at5820           -            743      0.55    6.7  13.1   1   1    0.0014      0.61    6.5  13.1   444   517    44   112    21   134 0.36 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002925.1-p1      -           1601 3773at5820           -            743      0.67    6.4  12.4   1   1    0.0025       1.1    5.7  12.4   437   498  1282  1346  1273  1369 0.41 | transcript=PVX_002925.1 | gene=PVX_002925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:388458-393263(-) | protein_length=1601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
