#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091445.1-p1      -            167 12375at5820          -            142     7e-91  300.3   1.3   1   2         4     2e+03   -2.7   0.0     1     9     1     9     1    13 0.85 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091445.1-p1      -            167 12375at5820          -            142     7e-91  300.3   1.3   2   2   1.5e-93   7.8e-91  300.2   0.5     6   142    25   163    22   163 0.98 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 12375at5820          -            142   1.1e-39  134.3   0.3   1   1   3.3e-42   1.6e-39  133.8   0.3     8   132    72   196    66   202 0.91 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 12375at5820          -            142   9.1e-32  108.7   0.2   1   1   4.2e-34   2.1e-31  107.5   0.2     7   129   608   730   604   736 0.91 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091425.1-p1      -            193 12375at5820          -            142   8.2e-30  102.3   0.3   1   1   2.4e-32   1.2e-29  101.8   0.3    17   130    76   188    56   191 0.89 | transcript=PVX_091425.1 | gene=PVX_091425 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=Pv_Sal1_chr09:506146-507236(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095135.1-p1      -            170 12375at5820          -            142   1.2e-28   98.6   0.2   1   1     3e-31   1.5e-28   98.2   0.2    17   120    53   155    31   167 0.85 | transcript=PVX_095135.1 | gene=PVX_095135 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr08:820773-821285(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_220290-t26_1-p1  -            217 12375at5820          -            142   2.2e-28   97.7   0.2   1   1   6.5e-31   3.3e-28   97.2   0.2    17   120    53   155    32   168 0.86 | transcript=PVX_220290-t26_1 | gene=PVX_220290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000961:234-887(-) | protein_length=217 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_093520.1-p1      -            262 12375at5820          -            142   1.3e-25   88.7   0.4   1   1   4.5e-28   2.3e-25   87.9   0.4    18   117   142   242   122   257 0.84 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084165.1-p1      -            226 12375at5820          -            142   2.1e-21   75.1   0.2   1   1   5.7e-24   2.9e-21   74.6   0.2    17   129    56   168    34   174 0.89 | transcript=PVX_084165.1 | gene=PVX_084165 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:59247-60936(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085320.1-p1      -            456 12375at5820          -            142   2.6e-20   71.5   0.4   1   1   1.1e-22   5.4e-20   70.5   0.4     7   137    38   173    35   176 0.84 | transcript=PVX_085320.1 | gene=PVX_085320 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:1100742-1103354(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123445.1-p1      -            276 12375at5820          -            142   5.3e-14   51.1   1.0   1   1   1.8e-16   9.1e-14   50.3   1.0    18   128   110   217    92   225 0.88 | transcript=PVX_123445.1 | gene=PVX_123445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr14:1444175-1445005(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
