#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096410.1-p1      -           2536 181at5820            -           2145         0 3920.0 184.1   1   1         0         0 3917.9 184.1     1  2145    74  2491    74  2491 0.92 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 181at5820            -           2145  5.3e-223  741.5 142.6   1   5   4.5e-82   8.3e-79  263.3  66.6   538  1114  1159  1775  1142  1789 0.82 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 181at5820            -           2145  5.3e-223  741.5 142.6   2   5   2.5e-08   4.6e-05   18.7   6.7  1117  1184  1841  1909  1827  1914 0.80 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 181at5820            -           2145  5.3e-223  741.5 142.6   3   5  2.3e-151  4.2e-148  493.1  53.3  1200  1862  2096  2763  2082  2793 0.92 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 181at5820            -           2145  5.3e-223  741.5 142.6   4   5         3   5.5e+03   -9.8   6.3  1873  1941  2944  3015  2940  3037 0.60 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 181at5820            -           2145  5.3e-223  741.5 142.6   5   5         3   5.5e+03  -11.0   9.3  2013  2136  3111  3230  3100  3234 0.73 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 181at5820            -           2145   3.2e-53  178.4 178.6   1   7     2e-33   3.7e-30  101.9  52.1   609  1050   736  1200   669  1207 0.81 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 181at5820            -           2145   3.2e-53  178.4 178.6   2   7   3.5e-12   6.5e-09   31.5  18.5  1012  1168  1549  1693  1437  1725 0.69 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 181at5820            -           2145   3.2e-53  178.4 178.6   3   7   1.3e-05     0.023    9.7   1.5  1056  1116  1835  1894  1831  1899 0.83 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 181at5820            -           2145   3.2e-53  178.4 178.6   4   7   2.8e-15   5.1e-12   41.8   4.1  1235  1340  1920  2032  1916  2039 0.83 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 181at5820            -           2145   3.2e-53  178.4 178.6   5   7   0.00012      0.23    6.4  17.3  1349  1495  2142  2287  2098  2354 0.62 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
