tName	tStart	tEnd	qName	qStart	qEnd	strand	score
GCA_900093555.2#1#LT635612.2#0	93609	127815	GCA_900093535.1#1#FLYI01000477.1#0	134	36362	+	31349
GCA_900093555.2#1#LT635612.2#0	130097	304996	GCA_900093535.1#1#LT615256.1#0	2030	175133	+	171329
GCA_900093555.2#1#LT635612.2#0	305942	515251	GCA_900093535.1#1#LT615256.1#0	340525	549821	+	206487
GCA_900093555.2#1#LT635612.2#0	515596	520133	GCA_900093535.1#1#LT615256.1#0	550189	555983	+	4497
GCA_900093555.2#1#LT635612.2#0	520518	557701	GCA_900093535.1#1#LT615256.1#0	555390	593601	+	39164
GCA_900093555.2#1#LT635612.2#0	557756	563116	GCA_900093535.1#1#LT615256.1#0	592603	597961	+	5606
GCA_900093555.2#1#LT635612.2#0	563207	577580	GCA_900093535.1#1#LT615256.1#0	598052	617377	+	13846
GCA_900093555.2#1#LT635612.2#0	577887	583317	GCA_900093535.1#1#LT615256.1#0	612869	618295	+	5598
GCA_900093555.2#1#LT635612.2#0	584189	999656	GCA_900093535.1#1#LT615256.1#0	619172	1033486	+	404876
GCA_900093555.2#1#LT635612.2#0	1041108	1043642	GCA_900093535.1#1#FLYI01000486.1#0	17210	22704	-	2110
GCA_900093555.2#1#LT635612.2#0	1044030	1048822	GCA_900093535.1#1#FLYI01000486.1#0	15772	17242	-	2278
GCA_900093555.2#1#LT635612.2#0	1066689	1072691	GCA_900093535.1#1#FLYI01000504.1#0	21464	27335	+	2942
GCA_900093555.2#1#LT635612.2#0	1072765	1082103	GCA_900093535.1#1#FLYI01000504.1#0	20023	28771	+	1792
GCA_900093555.2#1#LT635612.2#0	1092464	1093824	GCA_900093535.1#1#FLYI01000332.1#0	14590	15030	-	1303
GCA_900093555.2#1#LT635612.2#0	1092570	1093824	GCA_900093535.1#1#FLYI01000029.1#0	14588	17466	-	1109
GCA_900093555.2#1#LT635612.2#0	1093826	1100995	GCA_900093535.1#1#FLYI01000029.1#0	8790	14582	-	3878
GCA_900093555.2#1#LT635612.2#0	1093826	1100995	GCA_900093535.1#1#FLYI01000332.1#0	8792	14584	-	3886
GCA_900093555.2#1#LT635613.2#0	79	2829	GCA_900093535.1#1#FLYI01000018.1#0	13244	15975	+	2649
GCA_900093555.2#1#LT635613.2#0	8341	13514	GCA_900093535.1#1#FLYI01000500.1#0	23971	28913	+	4349
GCA_900093555.2#1#LT635613.2#0	14665	15878	GCA_900093535.1#1#LT615257.1#0	16949	18166	+	1169
GCA_900093555.2#1#LT635613.2#0	15254	16523	GCA_900093535.1#1#FLYI01000046.1#0	14641	15910	-	1269
GCA_900093555.2#1#LT635613.2#0	20266	22127	GCA_900093535.1#1#LT615257.1#0	22521	24376	+	1730
