tName	tStart	tEnd	qName	qStart	qEnd	strand	score
GCA_900093555.2#1#LT635612.2#0	90394	127815	GCA_900093545.1#1#FLYH01000055.1#0	56	37125	+	34621
GCA_900093555.2#1#LT635612.2#0	127815	515251	GCA_900093545.1#1#LT615239.1#0	195	388373	+	383487
GCA_900093555.2#1#LT635612.2#0	515596	520133	GCA_900093545.1#1#LT615239.1#0	388757	394417	+	4579
GCA_900093555.2#1#LT635612.2#0	520518	557701	GCA_900093545.1#1#LT615239.1#0	393804	432229	+	39285
GCA_900093555.2#1#LT635612.2#0	557756	563116	GCA_900093545.1#1#LT615239.1#0	431231	436576	+	5593
GCA_900093555.2#1#LT635612.2#0	563207	577580	GCA_900093545.1#1#LT615239.1#0	436667	456177	+	14144
GCA_900093555.2#1#LT635612.2#0	577887	583317	GCA_900093545.1#1#LT615239.1#0	451653	457095	+	5600
GCA_900093555.2#1#LT635612.2#0	584189	999656	GCA_900093545.1#1#LT615239.1#0	457961	873938	+	402237
GCA_900093555.2#1#LT635612.2#0	1006996	1008347	GCA_900093545.1#1#FLYH01000012.1#0	17107	18456	-	1306
GCA_900093555.2#1#LT635612.2#0	1007166	1008415	GCA_900093545.1#1#LT615239.1#0	882930	884177	+	1210
GCA_900093555.2#1#LT635612.2#0	1073235	1076283	GCA_900093545.1#1#FLYH01000115.1#0	9447	13048	+	1168
GCA_900093555.2#1#LT635612.2#0	1094928	1095672	GCA_900093545.1#1#LT615241.1#0	1426647	1430993	+	1083
GCA_900093555.2#1#LT635613.2#0	52	3415	GCA_900093545.1#1#FLYH01000164.1#0	0	3262	-	2816
GCA_900093555.2#1#LT635613.2#0	6811	14823	GCA_900093545.1#1#LT615240.1#0	20	1532	+	1368
GCA_900093555.2#1#LT635613.2#0	16637	18042	GCA_900093545.1#1#LT615240.1#0	3352	4752	+	1172
GCA_900093555.2#1#LT635613.2#0	16535	18986	GCA_900093545.1#1#FLYH01000184.1#0	2925	5357	+	2106
GCA_900093555.2#1#LT635613.2#0	18044	22144	GCA_900093545.1#1#LT615240.1#0	4752	8813	+	3725
GCA_900093555.2#1#LT635613.2#0	32165	34647	GCA_900093545.1#1#LT615240.1#0	19038	21506	+	2704
GCA_900093555.2#1#LT635613.2#0	36199	37288	GCA_900093545.1#1#LT615240.1#0	23041	24777	+	1040
GCA_900093555.2#1#LT635613.2#0	37331	39101	GCA_900093545.1#1#FLYH01000276.1#0	27	2575	-	2710
GCA_900093555.2#1#LT635613.2#0	38922	42540	GCA_900093545.1#1#LT615240.1#0	25840	29455	+	3603
GCA_900093555.2#1#LT635613.2#0	44415	866349	GCA_900093545.1#1#LT615240.1#0	31335	835035	+	776239
GCA_900093555.2#1#LT635613.2#0	934443	938556	GCA_900093545.1#1#FLYH01000073.1#0	2	3019	-	1929
GCA_900093555.2#1#LT635613.2#0	1001051	1003398	GCA_900093545.1#1#FLYH01000085.1#0	1058	3455	+	1660
GCA_900093555.2#1#LT635613.2#0	1012746	1014482	GCA_900093545.1#1#FLYH01000145.1#0	12891	14395	+	1104
GCA_900093555.2#1#LT635614.2#0	5420	207687	GCA_900093545.1#1#LT615241.1#0	4505	207684	+	188349
GCA_900093555.2#1#LT635614.2#0	215978	960537	GCA_900093545.1#1#LT615241.1#0	215987	962456	+	733075
GCA_900093555.2#1#LT635615.1#0	131621	152841	GCA_900093545.1#1#LT615242.1#0	34432	58895	+	16970
GCA_900093555.2#1#LT635615.1#0	152885	223121	GCA_900093545.1#1#LT615242.1#0	51879	125737	+	64812
