run_accession	fastq_ftp	fastq_bytes	fastq_md5
ERR027119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR027/ERR027119/ERR027119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR027/ERR027119/ERR027119_2.fastq.gz	2589285177;2512649534	1d33136cec7f544ab901fa86722e6c84;61356478d6dc18cfe5eb48dbbd27db10
ERR019040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019040/ERR019040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019040/ERR019040_2.fastq.gz	688238673;633105243	b0acb0fffbc0962a5e6b028e93afa70f;1e69de1f71d6d332a5cbbe02fec5f3aa
ERR018932	ftp.sra.ebi.ac.uk/vol1/fastq/ERR018/ERR018932/ERR018932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR018/ERR018932/ERR018932_2.fastq.gz	492739534;550110998	eb9a3f1274c292c4c0fdc654d1ea31c3;a284b37c2c9910c3d0d8449240658f51
ERR021983	ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021983/ERR021983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021983/ERR021983_2.fastq.gz	1652830767;1425894019	b01c18e713282238fb6969cfc3f86307;6852eca1d4346a9bce2b5a16eaa92103
ERR020103	ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020103/ERR020103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020103/ERR020103_2.fastq.gz	348518001;337150544	919a67f345069b306e8e8506629e1b7b;2f13e767a469d56458ee6e75b87ac3ca
ERR023039	ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023039/ERR023039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023039/ERR023039_2.fastq.gz	2622853150;2359380269	36cd7a30c5417aed290d71755a5fb6e5;962d5b2e6d6d8c38e7e43d6aa5cebb5b
ERR021980	ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021980/ERR021980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021980/ERR021980_2.fastq.gz	1018796946;834869323	17929903e00a71f59790468bf9bdbd60;5749e84cf20aa076194285ba2e9b148b
ERR023040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023040/ERR023040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023040/ERR023040_2.fastq.gz	1613398605;1452014688	c04a878b6a0f8e1ac9420fc117071ce9;3431feec1eea275f0e5fd0b92ba76ce9
ERR022866	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022866/ERR022866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022866/ERR022866_2.fastq.gz	354733213;310515793	b142c103cbe1283aeeef703f69c835b6;f7528a54425d2daf32b0bd6b795e97dd
ERR023041	ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023041/ERR023041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023041/ERR023041_2.fastq.gz	1251850220;1142391096	4d58fea59c2a6bf3f8732b1595b9df61;fc41bca5af78bb91843981523d3facac
