Sample	Study	Site	First-level administrative division	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
BBH-1-125	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2678989	BBH-1-125	AF	88.52	True	Analysis_set	False
BBH_1_132	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2678991	BBH_1_132	AF	90.2	True	Analysis_set	False
BBH_1_137	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2679003	BBH_1_137	AF	87.09	True	Analysis_set	False
BBH_1_153	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2678992	BBH_1_153	AF	90.6	True	Analysis_set	False
BBH_1_162	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2678993	BBH_1_162	AF	91.67	True	Analysis_set	False
Brazil01	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1564575,SRR1568121	Brazil01	LAM	50.16	True	Analysis_set	False
Brazil02	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564605,SRR1568116	Brazil02	LAM	9.39	False	Less_than_50pc_callable	False
Brazil03	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1567957,SRR1568197	Brazil03	LAM	0.47	False	Less_than_50pc_callable	False
Brazil08	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1568176,SRR1568808	Brazil08	LAM	5.86	False	Less_than_50pc_callable	False
Brazil12	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564700,SRR1568108	Brazil12	LAM	30.67	False	Less_than_50pc_callable	False
Brazil13	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1562973,SRR1564656	Brazil13	LAM	28.96	False	Less_than_50pc_callable	False
Brazil15	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564632,SRR1565062,SRR1568233	Brazil15	LAM	0.46	False	Less_than_50pc_callable	False
Brazil17	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1562872,SRR1567991,SRR1568119,SRR1568124,SRR1568173	Brazil17	LAM	16.48	False	Less_than_50pc_callable	False
Brazil22	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1562939,SRR1564662	Brazil22	LAM	45.77	False	Less_than_50pc_callable	False
Brazil24	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1564651,SRR1568111	Brazil24	LAM	6.56	False	Less_than_50pc_callable	False
Brazil25	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564606,SRR1568188	Brazil25	LAM	2.61	False	Less_than_50pc_callable	False
Brazil27	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564695,SRR1568215	Brazil27	LAM	4.32	False	Less_than_50pc_callable	False
Brazil29	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564608,SRR1568193	Brazil29	LAM	20.61	False	Less_than_50pc_callable	False
Brazil30	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1564652,SRR1564653,SRR1564993	Brazil30	LAM	16.21	False	Less_than_50pc_callable	False
Brazil31	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564633,SRR1568784	Brazil31	LAM	0.78	False	Less_than_50pc_callable	False
Brazil32	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1564647,SRR1568192	Brazil32	LAM	66.54	True	Analysis_set	False
Brazil33	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1564594,SRR1568212	Brazil33	LAM	2.9	False	Less_than_50pc_callable	False
Brazil34	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1562969,SRR1568011	Brazil34	LAM	11.74	False	Less_than_50pc_callable	False
Brazil35	X0001-PV-MULTI-HUPALO2016	Acrelândia	Brazil: Acre	Brazil	-10.0	-67.0	2011	SRR1564619,SRR1568194,SRR1568200,SRR1568220,SRR1568222	Brazil35	LAM	19.8	False	Less_than_50pc_callable	False
Brazil87	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	Brazil: Acre	Brazil	-10.2	-67.2	2011	SRR1562536,SRR1564576	Brazil87	LAM	0.48	False	Less_than_50pc_callable	False
Brazil_Belem	X0001-PV-MULTI-HUPALO2016	Belem	Brazil: Para	Brazil	-1.27	-48.46	1980	SRR575087	Brazil_Belem	LAM	85.71	True	Analysis_set	False
Brazil_I	X0001-PV-MULTI-HUPALO2016	Brazil	Brazil	Brazil	-10.0	-67.0	1994	SRR332567,SRR332568,SRR332569,SRR332570,SRR332571,SRR332572,SRR332573,SRR340133,SRR340134	Brazil_I	LAM	88.15	True	Analysis_set	False
Colombia_30101099036	X0001-PV-MULTI-HUPALO2016	Buenaventura	Colombia: Valle del Cauca	Colombia	3.88	-77.02	2013	SRR1565123,SRR1573226	Colombia_30101099036	LAM	80.48	True	Analysis_set	False
Colombia_30101099038	X0001-PV-MULTI-HUPALO2016	Buenaventura	Colombia: Valle del Cauca	Colombia	3.88	-77.02	2013	SRR1562524,SRR1565075	Colombia_30101099038	LAM	81.27	True	Analysis_set	False
Colombia_30101099040	X0001-PV-MULTI-HUPALO2016	Buenaventura	Colombia: Valle del Cauca	Colombia	3.88	-77.02	2013	SRR1564988,SRR1568221	Colombia_30101099040	LAM	79.66	True	Analysis_set	False
Colombia_30102100437	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564962,SRR1568171	Colombia_30102100437	LAM	81.36	True	Analysis_set	False
Colombia_30102100438-A	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564963,SRR1568155	Colombia_30102100438-A,Colombia_30102100438-B	LAM	78.03	False	Lower_covered_duplicate	False
Colombia_30102100438-B	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564939,SRR1568227	Colombia_30102100438-A,Colombia_30102100438-B	LAM	78.18	True	Analysis_set	False
Colombia_30102100439	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562975,SRR1565098	Colombia_30102100439	LAM	81.34	True	Analysis_set	False
Colombia_30102100440	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1565099,SRR1568230	Colombia_30102100440	LAM	79.46	True	Analysis_set	False
Colombia_30102100441-A	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1565136,SRR1568159	Colombia_30102100441-A,Colombia_30102100441-B	LAM	78.68	False	Lower_covered_duplicate	False
Colombia_30102100441-B	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564989,SRR1567977	Colombia_30102100441-A,Colombia_30102100441-B	LAM	79.51	True	Analysis_set	False
Colombia_30102100443-A	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562971,SRR1564927	Colombia_30102100443-A,Colombia_30102100443-B	LAM	78.26	False	Lower_covered_duplicate	False
Colombia_30102100443-B	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562555,SRR1564990	Colombia_30102100443-A,Colombia_30102100443-B	LAM	81.92	True	Analysis_set	False
Colombia_30102100445	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1565137,SRR1568207	Colombia_30102100445	LAM	81.22	True	Analysis_set	False
Colombia_30102100446	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1565124,SRR1568118	Colombia_30102100446	LAM	79.7	True	Analysis_set	False
Colombia_30102100448	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564670,SRR1565110	Colombia_30102100448	LAM	81.51	True	Analysis_set	False
Colombia_30102100449	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562870,SRR1565049	Colombia_30102100449	LAM	80.93	True	Analysis_set	False
Colombia_30102100485	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564964,SRR1568213	Colombia_30102100485	LAM	78.74	True	Analysis_set	False
Colombia_30102100486	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1565001,SRR1568160	Colombia_30102100486	LAM	84.03	True	Analysis_set	False
Colombia_30102100487	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562518,SRR1565037	Colombia_30102100487	LAM	86.91	True	Analysis_set	False
Colombia_30102100488	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564665,SRR1565111	Colombia_30102100488	LAM	79.36	True	Analysis_set	False
Colombia_30102100489	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564660,SRR1564951	Colombia_30102100489	LAM	81.21	True	Analysis_set	False
Colombia_30102100490	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564940,SRR1568169	Colombia_30102100490	LAM	84.84	True	Analysis_set	False
Colombia_30102100491	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1564650,SRR1565138	Colombia_30102100491	LAM	81.03	True	Analysis_set	False
Colombia_30102100492	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562965,SRR1565139	Colombia_30102100492	LAM	69.83	True	Analysis_set	False
Colombia_30102100493	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1562818,SRR1565140	Colombia_30102100493	LAM	78.03	True	Analysis_set	False
Colombia_30102100504	X0001-PV-MULTI-HUPALO2016	Tierralta	Colombia: Cordoba	Colombia	8.172777799999999	-76.059444	2013	SRR1565112,SRR1568112	Colombia_30102100504	LAM	80.92	True	Analysis_set	False
Colombia_30103103280	X0001-PV-MULTI-HUPALO2016	Tumaco	Colombia: Narino	Colombia	1.79	-78.79	2013	SRR1565061,SRR1568236	Colombia_30103103280	LAM	79.6	True	Analysis_set	False
Colombia_30103103295	X0001-PV-MULTI-HUPALO2016	Tumaco	Colombia: Narino	Colombia	1.79	-78.79	2013	SRR1562967,SRR1564991	Colombia_30103103295	LAM	81.26	True	Analysis_set	False
Colombia_30111110015	X0001-PV-MULTI-HUPALO2016	Choco	Colombia: Choco	Colombia	6.3	-76.9	2013	SRR1564664,SRR1565087	Colombia_30111110015	LAM	81.54	True	Analysis_set	False
Colombia_30111110020	X0001-PV-MULTI-HUPALO2016	Choco	Colombia: Choco	Colombia	6.3	-76.9	2013	SRR1565002,SRR1568235	Colombia_30111110020	LAM	81.66	True	Analysis_set	False
Colombia_30111110026	X0001-PV-MULTI-HUPALO2016	Choco	Colombia: Choco	Colombia	6.3	-76.9	2013	SRR1565026,SRR1568128	Colombia_30111110026	LAM	85.89	True	Analysis_set	False
HT_1_144	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2678994	HT_1_144	AF	88.54	True	Analysis_set	False
HT_1_147	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2679004	HT_1_147	AF	89.89	True	Analysis_set	False
HT_1_153	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2678995	HT_1_153	AF	0.31	False	Less_than_50pc_callable	False
HT_2_112	X0009-PV-ET-LO	Jimma	Ethiopia: Oromia	Ethiopia	7.6833306	36.8513179	2016	ERR2679005	HT_2_112	AF	89.31	True	Analysis_set	False
IVC09-BB-0012	X0002-PV-KH-PAROBEK2016	Battambang	Cambodia: Battambang	Cambodia	12.94	103.1	2009	SRR2315729	IVC09-BB-0012	ESEA	85.42	True	Analysis_set	False
