tName	tStart	tEnd	qName	qStart	qEnd	strand	score
GCA_900093555.2#1#LT635626.1#0	0	25915	GCA_949152365.1#1#CASCJQ010000015.1#0	938	26661	+	25667
GCA_900093555.2#1#LT635627.1#0	0	5077	GCA_949152365.1#1#CASCJQ010000016.1#0	923	6003	+	5069
GCA_900093555.2#1#LT635612.2#0	3684	4801	GCA_949152365.1#1#CASCJQ010000026.1#0	36846	37963	-	1115
GCA_900093555.2#1#LT635612.2#0	7730	9153	GCA_949152365.1#1#CASCJQ010000026.1#0	32704	34129	-	1421
GCA_900093555.2#1#LT635612.2#0	7038	10901	GCA_949152365.1#1#CASCJQ010000002.1#0	105216	108989	+	3633
GCA_900093555.2#1#LT635612.2#0	9570	10919	GCA_949152365.1#1#CASCJQ010000026.1#0	30936	32287	-	1287
GCA_900093555.2#1#LT635612.2#0	11979	14902	GCA_949152365.1#1#CASCJQ010000002.1#0	109988	112912	+	2866
GCA_900093555.2#1#LT635612.2#0	11973	15158	GCA_949152365.1#1#CASCJQ010000026.1#0	26699	29885	-	3128
GCA_900093555.2#1#LT635612.2#0	16032	17097	GCA_949152365.1#1#CASCJQ010000002.1#0	114043	115108	+	1057
GCA_900093555.2#1#LT635612.2#0	17255	22575	GCA_949152365.1#1#CASCJQ010000002.1#0	115266	120586	+	5312
GCA_900093555.2#1#LT635612.2#0	22577	24122	GCA_949152365.1#1#CASCJQ010000002.1#0	120588	122133	+	1543
GCA_900093555.2#1#LT635612.2#0	23849	25804	GCA_949152365.1#1#CASCJQ010000026.1#0	16067	18022	-	1849
GCA_900093555.2#1#LT635612.2#0	26156	27239	GCA_949152365.1#1#CASCJQ010000026.1#0	14624	15710	-	1047
GCA_900093555.2#1#LT635612.2#0	24956	28871	GCA_949152365.1#1#CASCJQ010000002.1#0	122965	130763	+	3844
GCA_900093555.2#1#LT635612.2#0	27241	40090	GCA_949152365.1#1#CASCJQ010000026.1#0	1647	14622	-	10288
GCA_900093555.2#1#LT635612.2#0	54567	95751	GCA_949152365.1#1#CASCJQ010000001.1#0	424880	466467	+	33119
GCA_900093555.2#1#LT635612.2#0	95815	100894	GCA_949152365.1#1#CASCJQ010000001.1#0	461406	466472	+	4746
GCA_900093555.2#1#LT635612.2#0	100944	941306	GCA_949152365.1#1#CASCJQ010000001.1#0	466522	1312546	+	829132
GCA_900093555.2#1#LT635612.2#0	952450	965824	GCA_949152365.1#1#CASCJQ010000011.1#0	2876112	2888631	+	9948
GCA_900093555.2#1#LT635612.2#0	967454	988503	GCA_949152365.1#1#CASCJQ010000006.1#0	181102	202531	-	18723
GCA_900093555.2#1#LT635613.2#0	15540	16902	GCA_949152365.1#1#CASCJQ010000006.1#0	1674132	1675494	-	1356
GCA_900093555.2#1#LT635613.2#0	18137	23487	GCA_949152365.1#1#CASCJQ010000006.1#0	1671302	1672918	-	1305
GCA_900093555.2#1#LT635613.2#0	25707	27611	GCA_949152365.1#1#CASCJQ010000003.1#0	1063885	1065789	-	1902
GCA_900093555.2#1#LT635613.2#0	32136	33835	GCA_949152365.1#1#CASCJQ010000006.1#0	1660896	1662598	-	1697
GCA_900093555.2#1#LT635613.2#0	35114	36584	GCA_949152365.1#1#CASCJQ010000002.1#0	162426	163896	+	1470
GCA_900093555.2#1#LT635613.2#0	35366	36584	GCA_949152365.1#1#CASCJQ010000006.1#0	1658147	1659365	-	1218
GCA_900093555.2#1#LT635613.2#0	37251	787480	GCA_949152365.1#1#CASCJQ010000002.1#0	164567	918274	+	737632
GCA_900093555.2#1#LT635613.2#0	851031	865762	GCA_949152365.1#1#CASCJQ010000001.1#0	194184	208320	-	13745
GCA_900093555.2#1#LT635613.2#0	902537	923257	GCA_949152365.1#1#CASCJQ010000017.1#0	102356	124365	+	16938
GCA_900093555.2#1#LT635614.2#0	2396	33539	GCA_949152365.1#1#CASCJQ010000017.1#0	8	30165	-	28702
GCA_900093555.2#1#LT635614.2#0	35868	906950	GCA_949152365.1#1#CASCJQ010000003.1#0	0	873355	+	855974
GCA_900093555.2#1#LT635615.1#0	11516	21970	GCA_949152365.1#1#CASCJQ010000004.1#0	312059	322534	+	9827
GCA_900093555.2#1#LT635615.1#0	61156	76798	GCA_949152365.1#1#CASCJQ010000019.1#0	210950	234077	+	12663
GCA_900093555.2#1#LT635615.1#0	127591	1010915	GCA_949152365.1#1#CASCJQ010000004.1#0	385779	1279554	+	864503
GCA_900093555.2#1#LT635616.2#0	16596	29344	GCA_949152365.1#1#CASCJQ010000011.1#0	2190764	2207787	-	11579
GCA_900093555.2#1#LT635616.2#0	74813	1515988	GCA_949152365.1#1#CASCJQ010000005.1#0	211169	1643382	+	1401261
GCA_900093555.2#1#LT635617.2#0	2968	1026514	GCA_949152365.1#1#CASCJQ010000006.1#0	257202	1285232	+	1009686
GCA_900093555.2#1#LT635617.2#0	1033883	1035126	GCA_949152365.1#1#CASCJQ010000006.1#0	1290232	1293856	+	1679
GCA_900093555.2#1#LT635617.2#0	1037870	1039182	GCA_949152365.1#1#CASCJQ010000006.1#0	1294266	1295578	+	1222
GCA_900093555.2#1#LT635617.2#0	1039442	1040772	GCA_949152365.1#1#CASCJQ010000006.1#0	1295838	1297168	+	1328
GCA_900093555.2#1#LT635618.2#0	18216	1475199	GCA_949152365.1#1#CASCJQ010000007.1#0	119511	1577426	+	1441910
GCA_900093555.2#1#LT635618.2#0	1493430	1501315	GCA_949152365.1#1#CASCJQ010000008.1#0	56923	65017	+	7629
GCA_900093555.2#1#LT635618.2#0	1566315	1574147	GCA_949152365.1#1#CASCJQ010000011.1#0	2721065	2724556	-	2088
GCA_900093555.2#1#LT635618.2#0	1578988	1580188	GCA_949152365.1#1#CASCJQ010000011.1#0	2184810	2186010	-	1200
GCA_900093555.2#1#LT635618.2#0	1578988	1580188	GCA_949152365.1#1#CASCJQ010000011.1#0	2715103	2716303	-	1200
GCA_900093555.2#1#LT635618.2#0	1591311	1592593	GCA_949152365.1#1#CASCJQ010000011.1#0	2172549	2173828	-	1001
