#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472182.1         -            559 6754at5820           -            365  1.6e-227  752.9  27.6   1   3   2.5e-21   2.5e-18   64.6   3.7     1    48    26    73    26    80 0.94 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 6754at5820           -            365  1.6e-227  752.9  27.6   2   3   6.9e-89     7e-86  286.8   4.8    31   177    80   224    71   230 0.93 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 6754at5820           -            365  1.6e-227  752.9  27.6   3   3  2.4e-127  2.4e-124  413.4   4.0   166   365   344   553   306   553 0.94 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471887.1         -            782 6754at5820           -            365   5.8e-72  241.0   3.4   1   1   1.5e-74   1.5e-71  239.7   3.4    82   359   497   781   480   782 0.91 | transcript=PVW1_140016400_t1 | gene=PVW1_140016400 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H489] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H489] | location=CAJZCX010000003:544935-547607(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483303.1         -            941 6754at5820           -            365   5.9e-14   50.2   0.7   1   2      0.17   1.7e+02   -0.7   0.2   315   349     8    42     3    45 0.84 | transcript=PVW1_030016700_t1 | gene=PVW1_030016700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:549016-552031(-) | protein_length=941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483303.1         -            941 6754at5820           -            365   5.9e-14   50.2   0.7   2   2   5.9e-17   5.9e-14   50.2   0.7   114   326   674   871   668   901 0.70 | transcript=PVW1_030016700_t1 | gene=PVW1_030016700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:549016-552031(-) | protein_length=941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 6754at5820           -            365     1e-10   39.5   0.4   1   1     2e-13     2e-10   38.6   0.4   185   334   105   258    34   278 0.79 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472180.1         -            303 6754at5820           -            365     3e-09   34.7   0.1   1   1     2e-11   2.1e-08   32.0   0.1   175   321   115   252    48   272 0.71 | transcript=PVW1_140036000_t1 | gene=PVW1_140036000 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | location=CAJZCX010000003:1346023-1348521(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 6754at5820           -            365   4.2e-07   27.6   0.1   1   1   7.6e-10   7.7e-07   26.8   0.1   186   342   889  1060   799  1070 0.73 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6754at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6754at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6754at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:26 2026
# [ok]
