#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481648.1         -            371 8597at5820           -            287  5.6e-134  444.1   8.8   1   1  8.8e-137  8.9e-134  443.4   8.8     1   280     1   311     1   317 0.90 | transcript=PVW1_060020400_t1 | gene=PVW1_060020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1m, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W2] | transcript_product=Inner membrane complex protein 1m, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W2] | location=CAJZCX010000012:655804-657059(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478649.1         -            286 8597at5820           -            287     9e-05   20.1  29.6   1   1   1.9e-07   0.00019   19.0  29.6    24   217    39   237    24   258 0.71 | transcript=PVW1_080008700_t1 | gene=PVW1_080008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | transcript_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | location=CAJZCX010000009:217882-218742(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 8597at5820           -            287   0.00071   17.2  64.6   1   2   0.00014      0.15    9.6  24.1    40   121   103   186    84   189 0.56 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 8597at5820           -            287   0.00071   17.2  64.6   2   2   0.00019      0.19    9.2  33.2    42   171   189   324   186   405 0.77 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479714.1         -            628 8597at5820           -            287     0.037   11.5  32.6   1   3   0.00069       0.7    7.3   9.7    24    89    58   133    43   136 0.76 | transcript=PVW1_050015700_t1 | gene=PVW1_050015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:496125-498011(+) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479714.1         -            628 8597at5820           -            287     0.037   11.5  32.6   2   3   0.00022      0.22    9.0  12.2    53   109   135   187   131   197 0.79 | transcript=PVW1_050015700_t1 | gene=PVW1_050015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:496125-498011(+) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479714.1         -            628 8597at5820           -            287     0.037   11.5  32.6   3   3      0.72   7.3e+02   -2.6   5.3    36    67   197   230   165   235 0.69 | transcript=PVW1_050015700_t1 | gene=PVW1_050015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:496125-498011(+) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474810.1         -            301 8597at5820           -            287      0.21    9.0  39.3   1   2   8.5e-06    0.0086   13.6  26.6    37   121    36   122     5   130 0.79 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474810.1         -            301 8597at5820           -            287      0.21    9.0  39.3   2   2     0.042        43    1.5   3.6    43    80   138   175   127   187 0.88 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472283.1         -            567 8597at5820           -            287        10    3.5  37.5   1   2      0.62   6.3e+02   -2.4  17.3    39   119   125   208   114   224 0.72 | transcript=PVW1_140045900_t1 | gene=PVW1_140045900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | transcript_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | location=CAJZCX010000003:1756611-1758314(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472283.1         -            567 8597at5820           -            287        10    3.5  37.5   2   2   0.00033      0.34    8.4  13.5    54    97   236   279   215   282 0.86 | transcript=PVW1_140045900_t1 | gene=PVW1_140045900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | transcript_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | location=CAJZCX010000003:1756611-1758314(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8597at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
