#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481238.1         -           1096 1259at5820           -            946         0 1946.6  47.0   1   3   3.4e-14   6.8e-11   39.1   0.2     1    57    10    86    10   107 0.77 | transcript=PVW1_060008500_t1 | gene=PVW1_060008500 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9H3] | transcript_product=DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9H3] | location=CAJZCX010000012:155650-158940(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481238.1         -           1096 1259at5820           -            946         0 1946.6  47.0   2   3   2.6e-12   5.3e-09   32.9   1.0    49    95   113   164   104   177 0.85 | transcript=PVW1_060008500_t1 | gene=PVW1_060008500 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9H3] | transcript_product=DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9H3] | location=CAJZCX010000012:155650-158940(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481238.1         -           1096 1259at5820           -            946         0 1946.6  47.0   3   3         0         0 1882.8  34.5    79   946   177  1090   168  1090 0.97 | transcript=PVW1_060008500_t1 | gene=PVW1_060008500 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9H3] | transcript_product=DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9H3] | location=CAJZCX010000012:155650-158940(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483352.1         -           1740 1259at5820           -            946   8.8e-45  151.3  19.3   1   4   7.5e-16   1.5e-12   44.6   2.2   235   344   693   807   655   820 0.87 | transcript=PVW1_030018500_t1 | gene=PVW1_030018500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:611775-617630(-) | protein_length=1740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483352.1         -           1740 1259at5820           -            946   8.8e-45  151.3  19.3   2   4   8.2e-13   1.7e-09   34.5   0.1   440   487   977  1024   944  1035 0.83 | transcript=PVW1_030018500_t1 | gene=PVW1_030018500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:611775-617630(-) | protein_length=1740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483352.1         -           1740 1259at5820           -            946   8.8e-45  151.3  19.3   3   4   2.1e-26   4.3e-23   79.5   4.1   512   714  1080  1280  1071  1285 0.87 | transcript=PVW1_030018500_t1 | gene=PVW1_030018500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:611775-617630(-) | protein_length=1740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483352.1         -           1740 1259at5820           -            946   8.8e-45  151.3  19.3   4   4     0.059   1.2e+02   -1.4   0.0   713   766  1302  1360  1300  1432 0.82 | transcript=PVW1_030018500_t1 | gene=PVW1_030018500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:611775-617630(-) | protein_length=1740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481836.1         -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   1   4   0.00012      0.24    7.6   0.5    57    80    52    75    30    98 0.83 | transcript=PVW1_060027900_t1 | gene=PVW1_060027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:932851-939059(+) | protein_length=1900 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481836.1         -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   2   4   1.7e-06    0.0034   13.7   4.1    82   175   108   208    96   225 0.75 | transcript=PVW1_060027900_t1 | gene=PVW1_060027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:932851-939059(+) | protein_length=1900 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481836.1         -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   3   4   9.2e-11   1.9e-07   27.8   1.3   377   487   869   986   863   990 0.85 | transcript=PVW1_060027900_t1 | gene=PVW1_060027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:932851-939059(+) | protein_length=1900 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481836.1         -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   4   4   9.5e-30   1.9e-26   90.6   3.8   501   704  1151  1349  1136  1360 0.88 | transcript=PVW1_060027900_t1 | gene=PVW1_060027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:932851-939059(+) | protein_length=1900 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1259at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1259at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1259at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:23 2026
# [ok]
