#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476996.1         -            571 7061at5820           -            416  2.2e-250  829.4  40.2   1   2  1.2e-149  1.5e-146  487.4  12.7     1   239    46   296    46   301 0.96 | transcript=PVW1_090035300_t1 | gene=PVW1_090035300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | location=CAJZCX010000007:1333555-1335270(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476996.1         -            571 7061at5820           -            416  2.2e-250  829.4  40.2   2   2  2.2e-107  2.7e-104  348.1  19.5   226   416   364   566   361   566 0.92 | transcript=PVW1_090035300_t1 | gene=PVW1_090035300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | location=CAJZCX010000007:1333555-1335270(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484102.1         -            638 7061at5820           -            416   2.7e-30  104.4  35.2   1   2   1.1e-26   1.4e-23   82.3  12.0    34   222    33   236    19   241 0.86 | transcript=PVW1_020017600_t1 | gene=PVW1_020017600 | organism=Plasmodium_vivax_PvW1 | gene_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | transcript_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | location=CAJZCX010000015:553384-555300(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484102.1         -            638 7061at5820           -            416   2.7e-30  104.4  35.2   2   2   3.6e-10   4.4e-07   27.9  15.2   270   388   480   602   451   621 0.83 | transcript=PVW1_020017600_t1 | gene=PVW1_020017600 | organism=Plasmodium_vivax_PvW1 | gene_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | transcript_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | location=CAJZCX010000015:553384-555300(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484098.1         -            571 7061at5820           -            416   5.2e-30  103.4  30.6   1   2   1.1e-24   1.3e-21   75.7   4.3    23   222    28   226    15   243 0.91 | transcript=PVW1_020017500_t1 | gene=PVW1_020017500 | organism=Plasmodium_vivax_PvW1 | gene_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | transcript_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | location=CAJZCX010000015:550204-551919(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484098.1         -            571 7061at5820           -            416   5.2e-30  103.4  30.6   2   2   7.1e-12   8.6e-09   33.5  18.4   234   400   363   538   354   549 0.81 | transcript=PVW1_020017500_t1 | gene=PVW1_020017500 | organism=Plasmodium_vivax_PvW1 | gene_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | transcript_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | location=CAJZCX010000015:550204-551919(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480482.1         -            484 7061at5820           -            416   3.6e-09   34.8   9.6   1   2   2.9e-12   3.6e-09   34.8   9.6    73   227    78   238     6   245 0.70 | transcript=PVW1_070019600_t1 | gene=PVW1_070019600 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | location=CAJZCX010000011:700743-702197(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480482.1         -            484 7061at5820           -            416   3.6e-09   34.8   9.6   2   2       2.5   3.1e+03   -4.5  18.5   278   379   337   439   301   451 0.76 | transcript=PVW1_070019600_t1 | gene=PVW1_070019600 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | location=CAJZCX010000011:700743-702197(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479222.1         -            547 7061at5820           -            416    0.0047   14.6  33.2   1   2     0.001       1.3    6.6   0.9    38   134    13   112     6   129 0.70 | transcript=PVW1_080033300_t1 | gene=PVW1_080033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1255723-1257366(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479222.1         -            547 7061at5820           -            416    0.0047   14.6  33.2   2   2   2.1e-05     0.025   12.2  25.5   263   395   367   504   342   524 0.79 | transcript=PVW1_080033300_t1 | gene=PVW1_080033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1255723-1257366(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7061at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7061at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7061at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:41 2026
# [ok]
