#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473790.1         -            411 6594at5820           -            351  1.1e-205  681.0  14.8   1   1  1.9e-208  1.5e-205  680.5  14.8     1   351     5   404     5   404 0.95 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483303.1         -            941 6594at5820           -            351     3e-20   71.0   1.1   1   1   8.9e-23   6.8e-20   69.8   1.1    83   257   726   905   686   912 0.72 | transcript=PVW1_030016700_t1 | gene=PVW1_030016700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:549016-552031(-) | protein_length=941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477169.1         -            872 6594at5820           -            351     1e-19   69.2   0.9   1   2      0.54   4.1e+02   -1.8   0.1   250   281    72   103    29   148 0.62 | transcript=PVW1_090044000_t1 | gene=PVW1_090044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1710125-1712743(+) | protein_length=872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477169.1         -            872 6594at5820           -            351     1e-19   69.2   0.9   2   2   2.8e-22   2.1e-19   68.2   0.1    91   220   517   650   473   670 0.85 | transcript=PVW1_090044000_t1 | gene=PVW1_090044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1710125-1712743(+) | protein_length=872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474874.1         -            701 6594at5820           -            351     4e-19   67.3   4.3   1   4      0.16   1.2e+02   -0.1   0.0    20    42   178   200   169   254 0.71 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474874.1         -            701 6594at5820           -            351     4e-19   67.3   4.3   2   4   5.3e-13     4e-10   37.7   0.1    74   156   451   534   439   543 0.83 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474874.1         -            701 6594at5820           -            351     4e-19   67.3   4.3   3   4      0.02        15    2.9   0.0   164   190   568   592   564   598 0.86 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474874.1         -            701 6594at5820           -            351     4e-19   67.3   4.3   4   4   5.4e-09   4.1e-06   24.5   0.2   199   254   645   701   631   701 0.83 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472180.1         -            303 6594at5820           -            351   5.2e-18   63.6  10.0   1   1   9.2e-20     7e-17   59.9  10.0    47   254    62   301     8   303 0.62 | transcript=PVW1_140036000_t1 | gene=PVW1_140036000 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | location=CAJZCX010000003:1346023-1348521(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 6594at5820           -            351   3.5e-13   47.8   1.0   1   1   3.9e-15   2.9e-12   44.7   1.1    70   254   857  1073   840  1081 0.74 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 6594at5820           -            351   1.5e-10   39.1   0.6   1   1   3.7e-13   2.8e-10   38.2   0.6    93   236   363   525   346   555 0.68 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
