#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477899.1         -            539 6412at5820           -            480  5.2e-233  772.5  32.2   1   1  3.9e-235  1.5e-232  771.0  32.2    11   479    17   518     1   519 0.87 | transcript=PVW1_110034600_t1 | gene=PVW1_110034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Cleavage stimulation factor 50 kDa subunit [Source:UniProtKB/TrEMBL;Acc:A0A564ZXQ9] | transcript_product=Cleavage stimulation factor 50 kDa subunit [Source:UniProtKB/TrEMBL;Acc:A0A564ZXQ9] | location=CAJZCX010000008:1279961-1281580(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 6412at5820           -            480   3.6e-13   47.5   8.5   1   3     0.048        18    2.3   3.1   123   243   135   281    75   281 0.57 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 6412at5820           -            480   3.6e-13   47.5   8.5   2   3   2.7e-14     1e-11   42.7   3.1   170   345   254   419   238   423 0.81 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 6412at5820           -            480   3.6e-13   47.5   8.5   3   3   3.3e-06    0.0012   16.1   0.2   278   382   398   497   395   498 0.83 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 6412at5820           -            480   3.6e-13   47.5  12.9   1   5      0.14        53    0.8   0.0   216   245     8    37     3    50 0.87 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 6412at5820           -            480   3.6e-13   47.5  12.9   2   5   1.8e-05    0.0069   13.6   0.0   183   245    63   121    49   129 0.84 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 6412at5820           -            480   3.6e-13   47.5  12.9   3   5   7.4e-05     0.028   11.6   0.1   212   254   130   171   121   185 0.82 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 6412at5820           -            480   3.6e-13   47.5  12.9   4   5   2.8e-09   1.1e-06   26.2   0.3   168   248   244   323   208   360 0.83 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 6412at5820           -            480   3.6e-13   47.5  12.9   5   5       4.2   1.6e+03   -4.1   1.0   131   170   615   656   606   703 0.59 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474991.1         -            646 6412at5820           -            480   1.3e-11   42.4   2.1   1   4       9.2   3.5e+03   -5.2  11.9    90   165    44   118    14   120 0.63 | transcript=PVW1_100047200_t1 | gene=PVW1_100047200 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYY8] | transcript_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYY8] | location=CAJZCX010000005:1915252-1918767(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474991.1         -            646 6412at5820           -            480   1.3e-11   42.4   2.1   2   4   3.3e-08   1.2e-05   22.7   1.3   322   396   376   448   347   457 0.81 | transcript=PVW1_100047200_t1 | gene=PVW1_100047200 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYY8] | transcript_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYY8] | location=CAJZCX010000005:1915252-1918767(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
