#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   1  12  6.6e-154    4e-150  500.0   5.3     2   263    40   301    39   322 0.96 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   2  12  4.2e-129  2.5e-125  417.8   1.3   249   509   356   629   349   637 0.95 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   3  12     2e-80   1.2e-76  256.5   9.4   506   666   650   809   646   823 0.95 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   4  12   2.3e-43   1.4e-39  133.6   0.0   676   788   889  1014   879  1020 0.85 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   5  12     8e-71   4.9e-67  224.6   0.8   788  1000  1054  1298  1051  1305 0.84 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   6  12   5.4e-55   3.3e-51  172.2   5.3  1007  1150  1332  1489  1322  1502 0.88 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   7  12   9.9e-14     6e-10   35.4   0.0  1152  1188  1540  1576  1531  1580 0.90 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   8  12   3.3e-46     2e-42  143.0   0.1  1186  1278  1611  1705  1608  1720 0.92 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4   9  12     2e-14   1.2e-10   37.7   0.0  1283  1333  1802  1852  1795  1858 0.86 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4  10  12   2.4e-18   1.5e-14   50.7   0.0  1341  1410  1938  2012  1903  2019 0.77 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4  11  12   1.2e-62   7.4e-59  197.5   5.9  1417  1569  2092  2278  2078  2283 0.82 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484831.1         -           2447 2879at5820           -           1693         0 2344.0  69.4  12  12   9.1e-61   5.5e-57  191.3   0.4  1576  1691  2326  2445  2317  2447 0.93 | transcript=PVW1_010013700_t1 | gene=PVW1_010013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:426495-433838(-) | protein_length=2447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2879at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:17 2026
# [ok]
