#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482438.1         -           1346 913at5820            -           1148         0 2638.4  12.3   1   2         0         0 1966.0   4.0     4   850    30   905    28   914 0.98 | transcript=PVW1_040015400_t1 | gene=PVW1_040015400 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | location=CAJZCX010000013:468387-472535(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482438.1         -           1346 913at5820            -           1148         0 2638.4  12.3   2   2  5.8e-207  8.8e-204  677.5   1.2   852  1148  1041  1346  1028  1346 0.97 | transcript=PVW1_040015400_t1 | gene=PVW1_040015400 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | location=CAJZCX010000013:468387-472535(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475421.1         -           1433 913at5820            -           1148  1.2e-207  690.3  19.2   1   2  2.7e-126    4e-123  410.3  13.1     9   786   218  1003   212  1015 0.85 | transcript=PVW1_130012300_t1 | gene=PVW1_130012300 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | location=CAJZCX010000006:332950-337251(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475421.1         -           1433 913at5820            -           1148  1.2e-207  690.3  19.2   2   2   4.4e-88   6.6e-85  283.8   0.4   804  1146  1103  1431  1076  1433 0.90 | transcript=PVW1_130012300_t1 | gene=PVW1_130012300 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | location=CAJZCX010000006:332950-337251(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 913at5820            -           1148  5.7e-100  333.7  14.9   1   5   1.5e-08   2.2e-05   20.4   0.5    22   173    96   249    84   267 0.86 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 913at5820            -           1148  5.7e-100  333.7  14.9   2   5   1.8e-07   0.00027   16.8   0.0   440   508   610   676   540   713 0.69 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 913at5820            -           1148  5.7e-100  333.7  14.9   3   5   6.2e-32   9.4e-29   97.8   0.2   659   783   981  1106   972  1117 0.90 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 913at5820            -           1148  5.7e-100  333.7  14.9   4   5   7.2e-31   1.1e-27   94.3   0.0   886   982  1210  1309  1190  1329 0.92 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 913at5820            -           1148  5.7e-100  333.7  14.9   5   5   2.6e-35   3.9e-32  109.0   2.1   983  1144  1382  1557  1362  1561 0.84 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 913at5820            -           1148   2.5e-25   86.5   6.8   1   2      0.23   3.4e+02   -3.4   4.3   668   727   467   534   446   571 0.66 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 913at5820            -           1148   2.5e-25   86.5   6.8   2   2   1.7e-28   2.5e-25   86.5   6.8   734  1085   592   960   581   969 0.77 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/913at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:58 2026
# [ok]
