#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   1  10   8.6e-10   1.7e-06   25.1   0.0     2    34   188   220   187   228 0.91 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   2  10   4.6e-27   9.3e-24   82.2   2.6    39   104   259   327   253   331 0.91 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   3  10     0.013        26    1.4   0.3   108   131   388   411   387   436 0.67 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   4  10   9.1e-08   0.00019   18.4   1.2   121   169   445   500   412   510 0.70 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   5  10   1.5e-13   3.1e-10   37.5   1.4   169   215   598   645   596   689 0.76 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   6  10     0.034        68    0.0   0.1   220   243   685   710   663   729 0.78 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   7  10   1.1e-65   2.2e-62  209.8   6.1   208   368   733   898   691   904 0.80 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   8  10     1e-21   2.1e-18   64.5   3.3   363   408   944   989   938   999 0.88 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3   9  10   2.6e-58   5.2e-55  185.5   3.6   406   530  1043  1175  1031  1192 0.90 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 2198at5820           -            663    2e-239  794.9  74.3  10  10     5e-65     1e-61  207.7   3.1   537   663  1241  1384  1230  1384 0.85 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477096.1         -            845 2198at5820           -            663   2.7e-07   27.8   2.4   1   2   4.5e-09   9.1e-06   22.7   0.1   319   351   608   640   508   659 0.75 | transcript=PVW1_090040400_t1 | gene=PVW1_090040400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1549286-1551823(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
