#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   1   6   5.8e-16     5e-13   46.4   7.8     1    50    29    79    29    87 0.95 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   2   6   7.4e-23   6.5e-20   69.2  31.6    41   132   153   262   142   270 0.81 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   3   6    1e-177  8.9e-175  581.9  14.4   134   429   400   695   394   699 0.95 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   4   6   4.2e-12   3.6e-09   33.6   5.6   400   443   699   743   687   751 0.88 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   5   6    2e-196  1.8e-193  643.9  19.9   407   743   860  1199   853  1203 0.94 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   6   6  3.2e-180  2.7e-177  590.2  29.2   751  1065  1282  1608  1280  1608 0.97 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 1667at5820           -           1065   1.3e-64  217.2  25.7   1   2   1.5e-67   1.3e-64  217.2  25.7    25   627   286   898   272   911 0.79 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 1667at5820           -           1065   1.3e-64  217.2  25.7   2   2      0.13   1.1e+02   -1.1   0.5   866   907  1061  1102   960  1117 0.85 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480540.1         -            840 1667at5820           -           1065   6.9e-62  208.2   3.7   1   3   2.9e-44   2.5e-41  140.1   1.8   156   395   187   413   176   424 0.90 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480540.1         -            840 1667at5820           -           1065   6.9e-62  208.2   3.7   2   3   6.9e-22     6e-19   66.0   0.0   454   632   425   594   412   598 0.86 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480540.1         -            840 1667at5820           -           1065   6.9e-62  208.2   3.7   3   3      0.57   4.9e+02   -3.3   0.0   334   376   681   723   673   727 0.80 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 1667at5820           -           1065   4.5e-59  198.9   6.0   1   3     4e-47   3.4e-44  149.6   0.5   139   400   544   794   530   804 0.87 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 1667at5820           -           1065   4.5e-59  198.9   6.0   2   3   1.1e-16   9.2e-14   48.8   0.0   459   546   808   895   799   973 0.81 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 1667at5820           -           1065   4.5e-59  198.9   6.0   3   3     0.054        47    0.1   0.1   863   917  1125  1176  1110  1199 0.81 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 1667at5820           -           1065   2.3e-48  163.4   8.6   1   4   2.2e-09   1.9e-06   24.6   0.0   157   200     3    46     1    52 0.93 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
