#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472019.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  7.8e-173  1.2e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVW1_140025600_t1 | gene=PVW1_140025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | location=CAJZCX010000003:898588-902556(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472019.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   2   4   5.5e-78   8.4e-75  250.7  48.7   246   435   283   480   278   481 0.92 | transcript=PVW1_140025600_t1 | gene=PVW1_140025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | location=CAJZCX010000003:898588-902556(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472019.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   3   4  2.7e-112  4.1e-109  364.3  17.4   405   626   477   712   472   721 0.91 | transcript=PVW1_140025600_t1 | gene=PVW1_140025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | location=CAJZCX010000003:898588-902556(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472019.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   4   4  1.1e-261  1.7e-258  858.9  62.0   611  1069   720  1213   713  1213 0.95 | transcript=PVW1_140025600_t1 | gene=PVW1_140025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | location=CAJZCX010000003:898588-902556(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1919at5820           -           1069   1.5e-27   94.3  42.9   1   5   2.6e-17     4e-14   49.8  31.5     3   333    58   432    56   439 0.69 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1919at5820           -           1069   1.5e-27   94.3  42.9   2   5         4   6.1e+03  -17.2  43.6   180   599   321   754   311   759 0.64 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1919at5820           -           1069   1.5e-27   94.3  42.9   3   5         4   6.1e+03  -12.6  21.3   259   382   812   937   777   943 0.58 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1919at5820           -           1069   1.5e-27   94.3  42.9   4   5         4   6.1e+03  -10.7  30.8   608   767   915  1063   911  1083 0.60 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1919at5820           -           1069   1.5e-27   94.3  42.9   5   5   2.2e-20   3.4e-17   60.0   3.5   858  1030  1230  1404  1185  1420 0.77 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479873.1         -           1193 1919at5820           -           1069   5.4e-25   85.8 172.0   1   2   6.5e-13   9.9e-10   35.2  68.6     1   419     1   431     1   451 0.70 | transcript=PVW1_050025700_t1 | gene=PVW1_050025700 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZRL1] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZRL1] | location=CAJZCX010000010:861126-867964(-) | protein_length=1193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479873.1         -           1193 1919at5820           -           1069   5.4e-25   85.8 172.0   2   2     1e-14   1.5e-11   41.2  95.9   432  1044   490  1174   448  1191 0.73 | transcript=PVW1_050025700_t1 | gene=PVW1_050025700 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZRL1] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZRL1] | location=CAJZCX010000010:861126-867964(-) | protein_length=1193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1919at5820           -           1069   2.5e-19   67.0  45.4   1   6   2.2e-17   3.4e-14   50.0  39.7     3   388   230   603   228   624 0.65 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1919at5820           -           1069   2.5e-19   67.0  45.4   2   6         4   6.1e+03  -12.8  19.9   688   796   683   801   609   860 0.48 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1919at5820           -           1069   2.5e-19   67.0  45.4   3   6       1.5   2.4e+03   -5.7  17.5   210   322  1017  1127  1005  1140 0.68 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1919at5820           -           1069   2.5e-19   67.0  45.4   4   6         4   6.1e+03  -10.6  26.6   279   389  1136  1251  1126  1270 0.51 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1919at5820           -           1069   2.5e-19   67.0  45.4   5   6       1.3   1.9e+03   -5.4  10.8   721   832  1377  1493  1366  1504 0.61 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1919at5820           -           1069   2.5e-19   67.0  45.4   6   6   2.1e-11   3.2e-08   30.3   0.3   955  1030  1513  1586  1499  1609 0.89 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1919at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:21 2026
# [ok]
