#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   1  15  2.9e-107  5.9e-104  347.4  31.9     1   184    80   271    80   277 0.96 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   2  15   3.2e-29   6.4e-26   89.3  58.7   166   315   300   503   294   527 0.70 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   3  15         3   6.1e+03  -14.5  44.1   288   356   513   602   499   659 0.74 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   4  15         3   6.1e+03  -14.9  18.0   163   242   598   674   590   694 0.49 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   5  15     5e-15     1e-11   42.4   2.1   324   383   716   775   704   780 0.88 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   6  15     0.002         4    4.0   2.0   385   413   849   877   841   889 0.84 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   7  15     5e-28     1e-24   85.4  16.4   398   471   914   993   905  1010 0.74 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   8  15   4.1e-24   8.2e-21   72.4  16.3   461   525  1018  1086  1002  1090 0.86 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4   9  15   4.3e-31   8.8e-28   95.5  23.5   523   609  1106  1196  1095  1199 0.89 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4  10  15         3   6.1e+03   -8.2  64.3   560   650  1182  1266  1179  1275 0.60 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4  11  15   2.7e-13   5.5e-10   36.6  51.2   581   673  1259  1368  1257  1374 0.74 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4  12  15   0.00031      0.64    6.7   3.3   650   669  1373  1392  1367  1394 0.56 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4  13  15   6.4e-05      0.13    9.0   6.9   650   677  1391  1418  1387  1419 0.82 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4  14  15   9.1e-05      0.18    8.4   3.5   651   670  1419  1438  1416  1439 0.91 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476659.1         -           1575 6929at5820           -            774  3.8e-273  906.9 429.4  15  15   5.3e-58   1.1e-54  184.5  37.9   651   774  1437  1575  1436  1575 0.93 | transcript=PVW1_090015700_t1 | gene=PVW1_090015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:552025-557385(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472320.1         -            110 6929at5820           -            774   0.00011   19.1   0.1   1   1   6.5e-08   0.00013   18.8   0.1    67   130    16    75     9   108 0.77 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 6929at5820           -            774     0.017   11.9   0.1   1   4   8.4e-06     0.017   11.9   0.1    60   126     4    72     1    76 0.89 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 6929at5820           -            774     0.017   11.9   0.1   2   4   6.5e-06     0.013   12.2   4.6    52   149   155   251   129   262 0.79 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 6929at5820           -            774     0.017   11.9   0.1   3   4         3   6.1e+03  -14.4  52.6   559   658   453   550   411   565 0.86 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 6929at5820           -            774     0.017   11.9   0.1   4   4         3   6.1e+03  -16.2  19.8   565   624   554   613   546   615 0.56 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:11 2026
# [ok]
