#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478856.1         -            543 6346at5820           -            465  1.2e-238  790.9  76.9   1   1  1.7e-240  2.1e-237  786.8  76.9    13   465    45   543    30   543 0.94 | transcript=PVW1_080017000_t1 | gene=PVW1_080017000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBI7] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBI7] | location=CAJZCX010000009:549792-551423(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6346at5820           -            465   2.3e-10   38.3  18.2   1   3   1.8e-06    0.0022   15.3   0.4   131   221   227   317   170   319 0.83 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6346at5820           -            465   2.3e-10   38.3  18.2   2   3   3.3e-12   4.1e-09   34.2   5.2    45   200   288   444   287   450 0.90 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6346at5820           -            465   2.3e-10   38.3  18.2   3   3      0.03        36    1.4   6.5    79   192   430   546   421   562 0.60 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 6346at5820           -            465   3.9e-05   21.0  24.1   1   5     0.012        14    2.7   0.0   108   162    80   133    62   145 0.78 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 6346at5820           -            465   3.9e-05   21.0  24.1   2   5   0.00056      0.68    7.1   0.2   126   171   188   233   182   245 0.69 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 6346at5820           -            465   3.9e-05   21.0  24.1   3   5   3.1e-07   0.00038   17.8   8.7   123   222   341   445   331   483 0.79 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 6346at5820           -            465   3.9e-05   21.0  24.1   4   5       0.2   2.4e+02   -1.4   0.0   138   164   558   584   546   637 0.65 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 6346at5820           -            465   3.9e-05   21.0  24.1   5   5     0.033        40    1.2   0.2    54   109   730   786   722   807 0.86 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 6346at5820           -            465     0.071   10.3  12.6   1   4   3.4e-05     0.042   11.1   0.8    42   145    61   169    44   223 0.72 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 6346at5820           -            465     0.071   10.3  12.6   2   4      0.32   3.9e+02   -2.0   0.1    88   146   389   449   377   455 0.65 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
