#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476950.1         -            559 5407at5820           -            457  7.6e-251  830.9  24.6   1   1  2.5e-253  2.2e-250  829.4  24.6     2   457     3   500     2   500 0.94 | transcript=PVW1_090031100_t1 | gene=PVW1_090031100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL8] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL8] | location=CAJZCX010000007:1172990-1175477(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476952.1         -            566 5407at5820           -            457   4.9e-43  145.9  14.4   1   1   7.7e-46   6.7e-43  145.4  14.4    51   450   140   554   119   560 0.82 | transcript=PVW1_090031200_t1 | gene=PVW1_090031200 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD05] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD05] | location=CAJZCX010000007:1176752-1179042(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472204.1         -            586 5407at5820           -            457     4e-37  126.4  14.3   1   1   7.1e-40   6.2e-37  125.8  14.3    46   431   128   527   122   551 0.80 | transcript=PVW1_140038400_t1 | gene=PVW1_140038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1466332-1468092(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 5407at5820           -            457   9.7e-21   72.4   0.1   1   3   1.7e-06    0.0015   15.7   0.0   264   320    15    72     1    82 0.78 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 5407at5820           -            457   9.7e-21   72.4   0.1   2   3   3.9e-17   3.4e-14   50.8   0.0   119   291    87   266    80   276 0.80 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 5407at5820           -            457   9.7e-21   72.4   0.1   3   3     0.033        29    1.6   0.1    67    88   295   316   280   325 0.85 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 5407at5820           -            457   8.3e-16   56.1  15.7   1   2   3.5e-16     3e-13   47.7   7.7    68   264    83   280    74   287 0.47 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 5407at5820           -            457   8.3e-16   56.1  15.7   2   2     2e-05     0.017   12.2   1.0   270   336   344   412   332   468 0.73 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 5407at5820           -            457   2.5e-08   31.4   2.1   1   3     0.089        77    0.2   0.0    76   101  1190  1215  1176  1251 0.78 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 5407at5820           -            457   2.5e-08   31.4   2.1   2   3     0.024        21    2.0   0.0    77   138  1269  1342  1258  1365 0.73 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 5407at5820           -            457   2.5e-08   31.4   2.1   3   3   2.2e-09   1.9e-06   25.3   0.4   232   322  1446  1534  1428  1545 0.84 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481281.1         -           1602 5407at5820           -            457   0.00084   16.5   0.6   1   3      0.15   1.3e+02   -0.5   0.1   162   196   545   580   494   588 0.47 | transcript=PVW1_060010100_t1 | gene=PVW1_060010100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | transcript_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | location=CAJZCX010000012:205761-210569(-) | protein_length=1602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481281.1         -           1602 5407at5820           -            457   0.00084   16.5   0.6   2   3    0.0088       7.7    3.5   0.0   211   250   615   657   611   678 0.78 | transcript=PVW1_060010100_t1 | gene=PVW1_060010100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | transcript_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | location=CAJZCX010000012:205761-210569(-) | protein_length=1602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481281.1         -           1602 5407at5820           -            457   0.00084   16.5   0.6   3   3   0.00018      0.15    9.1   0.2   264   324   771   828   753   866 0.79 | transcript=PVW1_060010100_t1 | gene=PVW1_060010100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | transcript_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | location=CAJZCX010000012:205761-210569(-) | protein_length=1602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5407at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:41 2026
# [ok]
