#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476724.1         -            193 11848at5820          -            164  1.8e-102  338.7   2.5   1   1  3.4e-105  2.1e-102  338.5   2.5     1   164    25   193    25   193 0.98 | transcript=PVW1_090020900_t1 | gene=PVW1_090020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | location=CAJZCX010000007:744861-745956(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479025.1         -            170 11848at5820          -            164     2e-62  208.5   0.5   1   1   3.7e-65   2.3e-62  208.3   0.5     5   163     4   169     2   170 0.93 | transcript=PVW1_080023500_t1 | gene=PVW1_080023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | location=CAJZCX010000009:842378-842890(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485056.1         -            262 11848at5820          -            164   1.8e-42  143.6   1.9   1   1   4.2e-45   2.6e-42  143.1   1.9     8   146    96   241    92   252 0.88 | transcript=PVW1_010020100_t1 | gene=PVW1_010020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | location=CAJZCX010000016:675590-676378(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475318.1         -            226 11848at5820          -            164   1.4e-37  127.7   0.2   1   1   2.9e-40   1.8e-37  127.3   0.2     6   163     7   173     3   174 0.93 | transcript=PVW1_130008300_t1 | gene=PVW1_130008300 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | location=CAJZCX010000006:165412-167102(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472222.1         -            276 11848at5820          -            164     1e-33  115.2   2.7   1   1   2.1e-36   1.3e-33  114.8   2.7     3   155    60   214    58   224 0.91 | transcript=PVW1_140040200_t1 | gene=PVW1_140040200 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | location=CAJZCX010000003:1518402-1519232(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 11848at5820          -            164     2e-33  114.2   0.2   1   1   6.6e-36     4e-33  113.2   0.2     5   151   579   721   575   728 0.90 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474779.1         -            203 11848at5820          -            164   1.7e-31  107.9   0.2   1   1   4.2e-34   2.6e-31  107.3   0.2    11   151    48   184    43   197 0.90 | transcript=PVW1_100029100_t1 | gene=PVW1_100029100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | location=CAJZCX010000005:1152373-1152984(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476731.1         -            167 11848at5820          -            164   8.7e-31  105.6   0.3   1   1     2e-33   1.2e-30  105.2   0.3    12   159     4   150     1   154 0.86 | transcript=PVW1_090021500_t1 | gene=PVW1_090021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | location=CAJZCX010000007:766653-768255(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475874.1         -            456 11848at5820          -            164   2.2e-11   42.5   0.1   1   1   5.8e-14   3.5e-11   41.8   0.1     6   149    10   152     5   158 0.79 | transcript=PVW1_130032300_t1 | gene=PVW1_130032300 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | location=CAJZCX010000006:1206431-1208900(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485095.1         -            590 11848at5820          -            164   7.9e-08   30.9   0.1   1   2   0.00017      0.11   11.0   0.1     6    67     6    73     3    86 0.77 | transcript=PVW1_010021600_t1 | gene=PVW1_010021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:751842-753614(-) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485095.1         -            590 11848at5820          -            164   7.9e-08   30.9   0.1   2   2   1.8e-06    0.0011   17.4   0.0    81   154   107   184    93   192 0.84 | transcript=PVW1_010021600_t1 | gene=PVW1_010021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:751842-753614(-) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11848at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11848at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11848at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:53 2026
# [ok]
