#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   1   6  4.5e-114  3.4e-111  370.8  24.7     1   202     1   213     1   223 0.94 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   2   6   0.00018      0.14    8.9   0.0   194   237   249   297   242   310 0.77 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   3   6  1.7e-125  1.3e-122  408.5   1.8   235   416   342   523   331   575 0.88 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   4   6     0.051        39    0.8   0.1   413   454   634   675   625   687 0.77 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   5   6   6.4e-63   4.9e-60  201.9   3.5   439   569   688   821   676   828 0.94 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   6   6      0.16   1.2e+02   -0.8   0.7   564   577   856   869   851   869 0.83 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477206.1         -            516 4376at5820           -            577   3.4e-64  215.6  46.8   1   2   3.3e-54   2.5e-51  173.2  43.4   104   391    85   390    73   398 0.85 | transcript=PVW1_090047100_t1 | gene=PVW1_090047100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1b, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDE6] | transcript_product=Inner membrane complex protein 1b, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDE6] | location=CAJZCX010000007:1890411-1891961(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477206.1         -            516 4376at5820           -            577   3.4e-64  215.6  46.8   2   2     5e-14   3.8e-11   40.5   0.1   465   521   439   495   391   505 0.77 | transcript=PVW1_090047100_t1 | gene=PVW1_090047100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1b, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDE6] | transcript_product=Inner membrane complex protein 1b, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDE6] | location=CAJZCX010000007:1890411-1891961(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478649.1         -            286 4376at5820           -            577   9.8e-51  171.2  22.8   1   1   1.8e-53   1.3e-50  170.8  22.8    52   241    19   216    10   244 0.77 | transcript=PVW1_080008700_t1 | gene=PVW1_080008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | transcript_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | location=CAJZCX010000009:217882-218742(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484799.1         -            252 4376at5820           -            577   1.9e-33  114.1  15.7   1   1   2.9e-36   2.2e-33  113.9  15.7   174   365    56   250    19   252 0.72 | transcript=PVW1_010013000_t1 | gene=PVW1_010013000 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1d, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQU1] | transcript_product=Inner membrane complex protein 1d, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQU1] | location=CAJZCX010000016:401768-402688(-) | protein_length=252 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473131.1         -           1264 4376at5820           -            577   4.7e-16   56.7  43.4   1   2   6.2e-19   4.7e-16   56.7  43.4    23   191   544   719   531   733 0.88 | transcript=PVW1_120017800_t1 | gene=PVW1_120017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:596283-600441(-) | protein_length=1264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
