#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481775.1         -            191 11721at5820          -            163  1.7e-109  361.4   1.6   1   1  4.4e-112    2e-109  361.1   1.6     1   163    19   191    19   191 0.97 | transcript=PVW1_060025500_t1 | gene=PVW1_060025500 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUQ1] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUQ1] | location=CAJZCX010000012:842653-844173(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474792.1         -            152 11721at5820          -            163   2.3e-20   71.5   0.0   1   1   6.6e-23   3.1e-20   71.1   0.0    14   127    32   148    28   151 0.91 | transcript=PVW1_100030600_t1 | gene=PVW1_100030600 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYD5] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYD5] | location=CAJZCX010000005:1205618-1206699(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475359.1         -            147 11721at5820          -            163   1.3e-17   62.7   0.2   1   1   3.4e-20   1.6e-17   62.3   0.2    25   126    47   146    35   147 0.93 | transcript=PVW1_130009700_t1 | gene=PVW1_130009700 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI68] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI68] | location=CAJZCX010000006:220291-221895(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479086.1         -            160 11721at5820          -            163   1.3e-17   62.6   0.1   1   1   3.5e-20   1.6e-17   62.3   0.1    21   121    41   144    32   158 0.83 | transcript=PVW1_080026300_t1 | gene=PVW1_080026300 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWF5] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWF5] | location=CAJZCX010000009:971067-971684(-) | protein_length=160 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472157.1         -            164 11721at5820          -            163   2.9e-16   58.2   0.0   1   1   7.8e-19   3.7e-16   57.9   0.0    24   124    49   147    33   161 0.91 | transcript=PVW1_140033900_t1 | gene=PVW1_140033900 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKG7] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKG7] | location=CAJZCX010000003:1238376-1239175(+) | protein_length=164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478171.1         -            152 11721at5820          -            163   3.5e-16   58.0   0.0   1   1   8.6e-19     4e-16   57.8   0.0    24   109    46   130    21   151 0.86 | transcript=PVW1_110048600_t1 | gene=PVW1_110048600 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG40] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG40] | location=CAJZCX010000008:1841600-1842900(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477704.1         -            202 11721at5820          -            163   2.3e-15   55.3   0.3   1   1   7.4e-18   3.5e-15   54.7   0.3    25   127    55   156    19   179 0.85 | transcript=PVW1_110021100_t1 | gene=PVW1_110021100 | organism=Plasmodium_vivax_PvW1 | gene_product=E2 ubiquitin-conjugating enzyme [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD5] | transcript_product=E2 ubiquitin-conjugating enzyme [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD5] | location=CAJZCX010000008:696197-697948(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472525.1         -            150 11721at5820          -            163   8.3e-14   50.2   0.1   1   1   2.5e-16   1.2e-13   49.8   0.1    32   116    62   144    51   148 0.87 | transcript=PVW1_140068900_t1 | gene=PVW1_140068900 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLH5] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLH5] | location=CAJZCX010000003:2754963-2756170(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480490.1         -            159 11721at5820          -            163   1.5e-11   42.9   0.0   1   1   3.8e-14   1.8e-11   42.7   0.0    22   125    47   155    31   159 0.82 | transcript=PVW1_070020100_t1 | gene=PVW1_070020100 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV39] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV39] | location=CAJZCX010000011:715270-716160(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480576.1         -            163 11721at5820          -            163   5.7e-09   34.5   1.2   1   1   5.9e-11   2.8e-08   32.3   1.2    11   121    32   159    21   163 0.76 | transcript=PVW1_070025900_t1 | gene=PVW1_070025900 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV95] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV95] | location=CAJZCX010000011:935680-937013(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472509.1         -            619 11721at5820          -            163   6.5e-06   24.6   0.1   1   1   2.4e-08   1.1e-05   23.8   0.1    27   126   215   317   201   350 0.81 | transcript=PVW1_140067300_t1 | gene=PVW1_140067300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2690571-2692430(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
