#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480540.1         -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 3370at5820           -            675  3.9e-218  724.5   2.0   1   1  7.3e-221  5.5e-218  724.0   2.0    18   656   558  1188   549  1204 0.95 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 3370at5820           -            675  5.2e-175  582.0  12.2   1   2   1.4e-88   1.1e-85  286.9   2.2    11   295   383   669   375   673 0.95 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 3370at5820           -            675  5.2e-175  582.0  12.2   2   2   1.1e-92   8.4e-90  300.4   2.6   261   655   685  1083   681  1087 0.92 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3370at5820           -            675  2.7e-166  553.2  12.9   1   3      0.39   2.9e+02   -2.1   0.0   349   380   346   377   340   390 0.81 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3370at5820           -            675  2.7e-166  553.2  12.9   2   3   1.8e-79   1.4e-76  256.8   2.2    18   249   425   661   407   671 0.95 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3370at5820           -            675  2.7e-166  553.2  12.9   3   3   6.3e-93   4.8e-90  301.2   2.9   263   655   745  1122   736  1127 0.94 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3370at5820           -            675  4.4e-120  400.5  14.6   1   5   2.2e-08   1.7e-05   21.8   0.1    24    70     3    48     1    54 0.87 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3370at5820           -            675  4.4e-120  400.5  14.6   2   5   1.4e-53   1.1e-50  171.2   0.0    74   232    76   235    62   245 0.94 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3370at5820           -            675  4.4e-120  400.5  14.6   3   5    0.0087       6.6    3.3   0.0   234   251   274   291   271   310 0.73 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3370at5820           -            675  4.4e-120  400.5  14.6   4   5   3.1e-44   2.3e-41  140.3   0.2   265   486   363   576   354   584 0.96 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
