#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479276.1         -            540 5106at5820           -            489         0 1028.7  15.5   1   1         0         0 1028.5  15.5     1   489     1   527     1   527 0.97 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 5106at5820           -            489   8.1e-80  267.4   9.8   1   1   3.4e-82   2.3e-79  265.9   9.8    18   487    12   532     1   534 0.86 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472365.1         -            544 5106at5820           -            489   1.2e-74  250.4  15.8   1   1   3.1e-77   2.1e-74  249.6  15.8    17   486    19   526     7   528 0.88 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 5106at5820           -            489   5.6e-74  248.1  19.3   1   1   1.1e-76   7.2e-74  247.8  19.3     8   486    11   529     7   532 0.87 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479293.1         -            532 5106at5820           -            489   3.1e-70  235.8  12.2   1   1     6e-73     4e-70  235.4  12.2    10   487     8   523     2   525 0.83 | transcript=PVW1_080039000_t1 | gene=PVW1_080039000 | organism=Plasmodium_vivax_PvW1 | gene_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | transcript_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | location=CAJZCX010000009:1478527-1480125(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 5106at5820           -            489   1.6e-61  207.0  17.6   1   1   3.6e-64   2.4e-61  206.5  17.6    24   486    25   526    14   528 0.84 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482486.1         -            544 5106at5820           -            489   7.4e-48  162.0  27.7   1   1   1.6e-50   1.1e-47  161.4  27.7    18   486    22   523    10   526 0.81 | transcript=PVW1_040017100_t1 | gene=PVW1_040017100 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | transcript_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | location=CAJZCX010000013:539335-541219(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 5106at5820           -            489   3.3e-38  130.2  18.5   1   1   8.3e-41   5.6e-38  129.4  18.5    19   487    16   534     1   536 0.79 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478967.1         -            580 5106at5820           -            489   3.4e-14   51.0  11.0   1   2     2e-10   1.4e-07   29.2   2.5    26   216    46   244    32   263 0.75 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478967.1         -            580 5106at5820           -            489   3.4e-14   51.0  11.0   2   2   1.1e-09   7.5e-07   26.7   1.4   336   483   403   549   357   554 0.84 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
