#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476786.1         -            316 10901at5820          -            239  3.6e-153  506.3  39.4   1   2  7.8e-147  6.8e-144  476.0  24.9     1   226     1   227     1   252 0.91 | transcript=PVW1_090024500_t1 | gene=PVW1_090024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | transcript_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | location=CAJZCX010000007:873038-873988(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476786.1         -            316 10901at5820          -            239  3.6e-153  506.3  39.4   2   2   9.8e-11   8.5e-08   30.4   9.7   204   239   254   289   244   289 0.83 | transcript=PVW1_090024500_t1 | gene=PVW1_090024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | transcript_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | location=CAJZCX010000007:873038-873988(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 10901at5820          -            239   6.6e-06   24.2   2.0   1   4   0.00024      0.21    9.4   0.0    77   142    22    89    17    99 0.86 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 10901at5820          -            239   6.6e-06   24.2   2.0   2   4     0.088        76    1.1   0.1    86   140   120   174   109   195 0.77 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 10901at5820          -            239   6.6e-06   24.2   2.0   3   4     0.013        11    3.8   0.0    92   134   215   255   196   274 0.77 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 10901at5820          -            239   6.6e-06   24.2   2.0   4   4    0.0036       3.2    5.6   0.0    87   157   465   536   430   548 0.83 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 10901at5820          -            239    0.0001   20.3   1.2   1   3   9.8e-07   0.00085   17.3   0.3    80   160   241   320   230   378 0.86 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 10901at5820          -            239    0.0001   20.3   1.2   2   3       0.2   1.7e+02   -0.1   0.0   168   200   431   463   420   471 0.83 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 10901at5820          -            239    0.0001   20.3   1.2   3   3      0.39   3.4e+02   -1.1   0.0   113   145   471   503   436   504 0.77 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 10901at5820          -            239    0.0013   16.7   2.6   1   3   0.00029      0.25    9.2   0.1    91   134   103   147    92   161 0.81 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 10901at5820          -            239    0.0013   16.7   2.6   2   3    0.0047       4.1    5.2   0.1    82   145   191   258   180   270 0.82 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
