#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478859.1         -            406 9842at5820           -            282  4.3e-148  490.6  43.0   1   4   3.5e-45   3.5e-42  143.1   7.0     1    89     1    89     1   103 0.90 | transcript=PVW1_080017100_t1 | gene=PVW1_080017100 | organism=Plasmodium_vivax_PvW1 | gene_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | transcript_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | location=CAJZCX010000009:553764-554984(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478859.1         -            406 9842at5820           -            282  4.3e-148  490.6  43.0   2   4   2.6e-34   2.6e-31  107.4   5.6    80   173   121   209   115   223 0.75 | transcript=PVW1_080017100_t1 | gene=PVW1_080017100 | organism=Plasmodium_vivax_PvW1 | gene_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | transcript_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | location=CAJZCX010000009:553764-554984(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478859.1         -            406 9842at5820           -            282  4.3e-148  490.6  43.0   3   4     5e-39   5.1e-36  122.9   3.0   138   225   233   326   217   334 0.87 | transcript=PVW1_080017100_t1 | gene=PVW1_080017100 | organism=Plasmodium_vivax_PvW1 | gene_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | transcript_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | location=CAJZCX010000009:553764-554984(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478859.1         -            406 9842at5820           -            282  4.3e-148  490.6  43.0   4   4   1.2e-42   1.2e-39  134.8   4.8   215   282   339   406   330   406 0.94 | transcript=PVW1_080017100_t1 | gene=PVW1_080017100 | organism=Plasmodium_vivax_PvW1 | gene_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | transcript_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | location=CAJZCX010000009:553764-554984(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 9842at5820           -            282   1.4e-32  111.6  14.5   1   5   7.7e-09   7.7e-06   23.9   0.1     1    66     1    67     1    74 0.85 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 9842at5820           -            282   1.4e-32  111.6  14.5   2   5   8.4e-09   8.5e-06   23.8   0.1     1    66    77   143    77   150 0.85 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 9842at5820           -            282   1.4e-32  111.6  14.5   3   5   8.4e-09   8.5e-06   23.8   0.1     1    66   153   219   153   226 0.85 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 9842at5820           -            282   1.4e-32  111.6  14.5   4   5   8.4e-09   8.5e-06   23.8   0.1     1    66   229   295   229   302 0.85 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 9842at5820           -            282   1.4e-32  111.6  14.5   5   5   7.6e-09   7.7e-06   23.9   0.1     1    68   305   373   305   379 0.85 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477532.1         -            128 9842at5820           -            282   1.1e-06   26.7   0.1   1   1   1.3e-09   1.3e-06   26.4   0.1     1    69     1    70     1    76 0.87 | transcript=PVW1_110011500_t1 | gene=PVW1_110011500 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HER1] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HER1] | location=CAJZCX010000008:274447-275253(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476692.1         -            394 9842at5820           -            282   0.00032   18.6   0.1   1   2   3.1e-07   0.00032   18.6   0.1    10    57    12    58     1    93 0.81 | transcript=PVW1_090018700_t1 | gene=PVW1_090018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:663896-665602(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
