#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476791.1         -            478 6501at5820           -            376  6.9e-218  721.4  24.9   1   2   1.2e-73   1.4e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVW1_090024700_t1 | gene=PVW1_090024700 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | location=CAJZCX010000007:883689-885484(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476791.1         -            478 6501at5820           -            376  6.9e-218  721.4  24.9   2   2  7.9e-151  9.5e-148  490.6  14.6   126   376   198   476   178   476 0.93 | transcript=PVW1_090024700_t1 | gene=PVW1_090024700 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | location=CAJZCX010000007:883689-885484(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471928.1         -            458 6501at5820           -            376   1.7e-49  167.3  24.2   1   2     3e-35   3.6e-32  110.2  13.6     3   203     4   229     2   231 0.78 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471928.1         -            458 6501at5820           -            376   1.7e-49  167.3  24.2   2   2   1.2e-20   1.4e-17   62.2   2.8   196   375   253   455   245   456 0.77 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6501at5820           -            376   1.4e-26   91.8  64.8   1   5   1.7e-08   2.1e-05   22.2  29.4     3   216     2   238     1   250 0.65 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6501at5820           -            376   1.4e-26   91.8  64.8   2   5   7.1e-09   8.6e-06   23.4   8.9   137   200   247   310   202   322 0.70 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6501at5820           -            376   1.4e-26   91.8  64.8   3   5   7.8e-13   9.5e-10   36.4   0.2   200   253   355   408   348   416 0.92 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6501at5820           -            376   1.4e-26   91.8  64.8   4   5    0.0077       9.3    3.6   3.7   257   357   449   558   429   564 0.66 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6501at5820           -            376   1.4e-26   91.8  64.8   5   5   1.9e-08   2.3e-05   22.0   4.6   291   376   528   611   524   611 0.80 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 6501at5820           -            376   6.3e-09   33.7  10.4   1   3   2.7e-05     0.032   11.6   0.5    50   109    73   134    56   170 0.82 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 6501at5820           -            376   6.3e-09   33.7  10.4   2   3   1.6e-10   1.9e-07   28.9   0.2   125   207   198   285   184   300 0.81 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
