#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471928.1         -            458 6472at5820           -            409  7.7e-271  896.5  30.8   1   2  6.5e-139  7.9e-136  451.9  16.1     1   214     1   223     1   227 0.97 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471928.1         -            458 6472at5820           -            409  7.7e-271  896.5  30.8   2   2  1.4e-138  1.7e-135  450.8   6.8   210   409   256   456   247   456 0.98 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476791.1         -            478 6472at5820           -            409   2.2e-54  183.6  14.1   1   2     1e-22   1.3e-19   69.1   0.8     4   132     3   137     1   145 0.89 | transcript=PVW1_090024700_t1 | gene=PVW1_090024700 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | location=CAJZCX010000007:883689-885484(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476791.1         -            478 6472at5820           -            409   2.2e-54  183.6  14.1   2   2   6.2e-38   7.5e-35  119.3   6.7   136   408   195   475   180   476 0.87 | transcript=PVW1_090024700_t1 | gene=PVW1_090024700 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | location=CAJZCX010000007:883689-885484(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6472at5820           -            409   1.4e-49  167.8  52.2   1   3   3.2e-20   3.8e-17   61.0  16.6     4   135     2   140     1   172 0.85 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6472at5820           -            409   1.4e-49  167.8  52.2   2   3   4.5e-15   5.5e-12   44.0   4.2   129   211   221   304   200   310 0.83 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472252.1         -            611 6472at5820           -            409   1.4e-49  167.8  52.2   3   3   6.2e-19   7.5e-16   56.7  15.5   219   408   363   610   355   611 0.64 | transcript=PVW1_140043300_t1 | gene=PVW1_140043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1619715-1621550(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 6472at5820           -            409   5.8e-10   37.3   3.4   1   2   7.1e-08   8.6e-05   20.3   0.8    38   130    54   150    30   165 0.82 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 6472at5820           -            409   5.8e-10   37.3   3.4   2   2   7.1e-07   0.00086   17.0   0.1   148   253   208   314   190   322 0.76 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476759.1         -            155 6472at5820           -            409    0.0014   16.2   2.1   1   2      0.11   1.3e+02   -0.1   0.0   129   159    31    61    22    66 0.78 | transcript=PVW1_090023300_t1 | gene=PVW1_090023300 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | location=CAJZCX010000007:835907-836518(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476759.1         -            155 6472at5820           -            409    0.0014   16.2   2.1   2   2     2e-06    0.0024   15.5   1.3    56   126    62   133    56   143 0.87 | transcript=PVW1_090023300_t1 | gene=PVW1_090023300 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | location=CAJZCX010000007:835907-836518(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
