#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480510.1         -            179 12730at5820          -            150   8.9e-74  244.9   8.8   1   2   8.3e-23   8.5e-20   69.7   2.3     1    46     1    49     1    53 0.83 | transcript=PVW1_070021100_t1 | gene=PVW1_070021100 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | location=CAJZCX010000011:748427-749646(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480510.1         -            179 12730at5820          -            150   8.9e-74  244.9   8.8   2   2   5.1e-57   5.2e-54  180.7   0.7    32   150    48   175    45   175 0.94 | transcript=PVW1_070021100_t1 | gene=PVW1_070021100 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | location=CAJZCX010000011:748427-749646(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473744.1         -            104 12730at5820          -            150   1.6e-11   42.8   0.3   1   1   1.9e-14   1.9e-11   42.6   0.3    61   149    16   103     8   104 0.79 | transcript=PVW1_120064500_t1 | gene=PVW1_120064500 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | transcript_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | location=CAJZCX010000004:2496098-2496546(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480627.1         -            133 12730at5820          -            150   8.4e-08   30.7   0.0   1   1   9.8e-11   9.9e-08   30.5   0.0    59   144    37   121    10   126 0.70 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473202.1         -            157 12730at5820          -            150   3.5e-05   22.2   0.3   1   1   4.7e-08   4.7e-05   21.8   0.3    33   140    43   148    35   156 0.68 | transcript=PVW1_120024300_t1 | gene=PVW1_120024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | location=CAJZCX010000004:866676-867768(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473120.1         -            209 12730at5820          -            150   5.4e-05   21.6   0.5   1   2   5.3e-08   5.4e-05   21.6   0.5    46   120    27   106     7   117 0.79 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473120.1         -            209 12730at5820          -            150   5.4e-05   21.6   0.5   2   2       4.5   4.5e+03   -4.1   0.7    22    30   180   188   171   198 0.43 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12730at5820          -            150    0.0031   15.9   1.8   1   3     6e-05     0.061   11.7   0.0    60   121    44   112    22   118 0.76 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12730at5820          -            150    0.0031   15.9   1.8   2   3       2.3   2.4e+03   -3.2   0.2    99   132   144   176   138   196 0.50 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12730at5820          -            150    0.0031   15.9   1.8   3   3     0.033        34    2.8   0.0    63    86   371   394   347   434 0.77 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12730at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12730at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12730at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:43 2026
# [ok]
