#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475970.1         -            563 5494at5820           -            442  5.2e-258  854.5  15.6   1   2   2.7e-74   2.8e-71  239.1   0.4     1   118    47   171    47   181 0.96 | transcript=PVW1_130035600_t1 | gene=PVW1_130035600 | organism=Plasmodium_vivax_PvW1 | gene_product=Glutathione reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ49] | transcript_product=Glutathione reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ49] | location=CAJZCX010000006:1315729-1317896(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475970.1         -            563 5494at5820           -            442  5.2e-258  854.5  15.6   2   2  1.1e-189  1.1e-186  619.5   9.2   116   442   201   563   188   563 0.95 | transcript=PVW1_130035600_t1 | gene=PVW1_130035600 | organism=Plasmodium_vivax_PvW1 | gene_product=Glutathione reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ49] | transcript_product=Glutathione reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ49] | location=CAJZCX010000006:1315729-1317896(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480605.1         -            546 5494at5820           -            442   8.3e-65  217.8   0.0   1   2   1.3e-38   1.3e-35  121.6   0.0     3   274    46   365    44   368 0.78 | transcript=PVW1_070028700_t1 | gene=PVW1_070028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAU2] | transcript_product=Thioredoxin reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAU2] | location=CAJZCX010000011:1045857-1047497(-) | protein_length=546 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480605.1         -            546 5494at5820           -            442   8.3e-65  217.8   0.0   2   2   2.4e-30   2.4e-27   94.3   0.0   297   437   369   524   363   527 0.85 | transcript=PVW1_070028700_t1 | gene=PVW1_070028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAU2] | transcript_product=Thioredoxin reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAU2] | location=CAJZCX010000011:1045857-1047497(-) | protein_length=546 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472392.1         -            512 5494at5820           -            442   2.3e-29  101.0  10.7   1   1   3.7e-31   3.7e-28   97.0  10.7     3   434    25   498    23   506 0.72 | transcript=PVW1_140056700_t1 | gene=PVW1_140056700 | organism=Plasmodium_vivax_PvW1 | gene_product=Dihydrolipoyl dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKZ9] | transcript_product=Dihydrolipoyl dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKZ9] | location=CAJZCX010000003:2262791-2264555(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479858.1         -            662 5494at5820           -            442   1.5e-17   62.0  15.6   1   2   5.3e-11   5.3e-08   30.6   7.9     3   172   113   327   111   341 0.64 | transcript=PVW1_050024500_t1 | gene=PVW1_050024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Dihydrolipoyl dehydrogenase, apicoplast, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN1] | transcript_product=Dihydrolipoyl dehydrogenase, apicoplast, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN1] | location=CAJZCX010000010:828225-830213(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479858.1         -            662 5494at5820           -            442   1.5e-17   62.0  15.6   2   2   5.4e-09   5.5e-06   23.9   0.8   224   433   410   648   404   653 0.69 | transcript=PVW1_050024500_t1 | gene=PVW1_050024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Dihydrolipoyl dehydrogenase, apicoplast, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN1] | transcript_product=Dihydrolipoyl dehydrogenase, apicoplast, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN1] | location=CAJZCX010000010:828225-830213(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483477.1         -            688 5494at5820           -            442     0.001   16.5   0.3   1   2     0.022        23    2.1   0.0   151   174   394   417   377   430 0.82 | transcript=PVW1_030023300_t1 | gene=PVW1_030023300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rieske domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M4] | transcript_product=Rieske domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M4] | location=CAJZCX010000014:810508-812574(+) | protein_length=688 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483477.1         -            688 5494at5820           -            442     0.001   16.5   0.3   2   2   3.1e-05     0.031   11.6   0.1   227   331   501   598   485   640 0.73 | transcript=PVW1_030023300_t1 | gene=PVW1_030023300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rieske domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M4] | transcript_product=Rieske domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M4] | location=CAJZCX010000014:810508-812574(+) | protein_length=688 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472513.1         -            878 5494at5820           -            442     0.019   12.3   0.2   1   1   3.4e-05     0.035   11.4   0.2     3    39    89   127    87   151 0.77 | transcript=PVW1_140067700_t1 | gene=PVW1_140067700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2704639-2707582(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
