#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475512.1         -            381 7279at5820           -            532         0 1121.8  36.0   1   3  1.5e-111  7.6e-109  362.7   6.7   229   379     1   151     1   151 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 7279at5820           -            532         0 1121.8  36.0   2   3  5.5e-122  2.8e-119  397.1   7.0   215   379   139   303   139   303 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 7279at5820           -            532         0 1121.8  36.0   3   3  1.3e-119  6.5e-117  389.3   6.4   219   379   219   379   219   381 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477532.1         -            128 7279at5820           -            532   7.5e-46  154.8   0.0   1   1   1.5e-48   7.6e-46  154.8   0.0   305   380     1    76     1   113 0.91 | transcript=PVW1_110011500_t1 | gene=PVW1_110011500 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HER1] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HER1] | location=CAJZCX010000008:274447-275253(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471944.1         -             76 7279at5820           -            532   3.7e-22   76.6   0.1   1   1   7.9e-25     4e-22   76.5   0.1   305   379     1    75     1    76 0.68 | transcript=PVW1_140020200_t1 | gene=PVW1_140020200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ8] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ8] | location=CAJZCX010000003:677202-677719(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476692.1         -            394 7279at5820           -            532   6.4e-09   32.9   0.0   1   1   1.6e-11     8e-09   32.6   0.0   310   374     8    72     1    97 0.50 | transcript=PVW1_090018700_t1 | gene=PVW1_090018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:663896-665602(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480588.1         -           1432 7279at5820           -            532   6.9e-09   32.8   0.2   1   1     2e-11     1e-08   32.3   0.2   152   224     6    78     1    83 0.32 | transcript=PVW1_070027000_t1 | gene=PVW1_070027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:977801-983216(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476310.1         -            149 7279at5820           -            532   7.8e-08   29.4   0.1   1   1   1.8e-10   8.9e-08   29.2   0.1    77   152     1    76     1    93 0.38 | transcript=PVW1_130052800_t1 | gene=PVW1_130052800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H403] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H403] | location=CAJZCX010000006:2097108-2098656(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478859.1         -            406 7279at5820           -            532   1.2e-05   22.2   0.3   1   1   2.8e-08   1.4e-05   21.9   0.3   305   374     1    69     1   139 0.54 | transcript=PVW1_080017100_t1 | gene=PVW1_080017100 | organism=Plasmodium_vivax_PvW1 | gene_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | transcript_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | location=CAJZCX010000009:553764-554984(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472454.1         -             73 7279at5820           -            532   0.00036   17.3   0.1   1   1   7.1e-07   0.00036   17.3   0.1   160   219     9    68     1    73 0.33 | transcript=PVW1_140062300_t1 | gene=PVW1_140062300 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5R2] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5R2] | location=CAJZCX010000003:2491321-2491643(+) | protein_length=73 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471962.1         -            190 7279at5820           -            532     0.001   15.8   0.1   1   1   2.5e-06    0.0013   15.5   0.1   412   522    58   172    30   179 0.48 | transcript=PVW1_140022000_t1 | gene=PVW1_140022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJZ1] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJZ1] | location=CAJZCX010000003:756909-757641(-) | protein_length=190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476940.1         -            246 7279at5820           -            532    0.0013   15.5   0.0   1   1   3.4e-06    0.0017   15.0   0.0   394   438    22    66     7    79 0.40 | transcript=PVW1_090030600_t1 | gene=PVW1_090030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD55] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD55] | location=CAJZCX010000007:1157688-1158989(-) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479861.1         -            392 7279at5820           -            532      0.01   12.4   0.1   1   1   2.9e-05     0.015   11.9   0.1    95   280   124   157   113   177 0.40 | transcript=PVW1_050024800_t1 | gene=PVW1_050024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:837997-839360(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
