#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473400.1         -            456 6503at5820           -            386  1.6e-257  852.2   3.9   1   1  5.7e-260  1.8e-257  852.0   3.9     1   386    61   456    61   456 0.98 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 6503at5820           -            386  4.7e-120  399.7  16.4   1   1  1.8e-122  5.8e-120  399.4  16.4     5   386     5   408     2   408 0.89 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477696.1         -            443 6503at5820           -            386   1.7e-48  164.1   1.4   1   1   5.1e-50   1.6e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVW1_110020300_t1 | gene=PVW1_110020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:659037-660368(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477697.1         -            443 6503at5820           -            386   1.7e-48  164.1   1.4   1   1   5.1e-50   1.6e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVW1_110020400_t1 | gene=PVW1_110020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:661781-663112(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476892.1         -            547 6503at5820           -            386   5.6e-23   80.1   0.1   1   3   9.6e-23   3.1e-20   71.1   0.1    10   139   109   265   104   326 0.77 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476892.1         -            547 6503at5820           -            386   5.6e-23   80.1   0.1   2   3     0.083        27    2.2   0.0   223   292   361   435   351   454 0.78 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476892.1         -            547 6503at5820           -            386   5.6e-23   80.1   0.1   3   3      0.31     1e+02    0.3   0.0   366   383   526   543   507   545 0.85 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476207.1         -            465 6503at5820           -            386   5.4e-16   57.1   2.5   1   2     3e-06   0.00097   16.8   0.4    10    37    33    60    28    74 0.82 | transcript=PVW1_130044700_t1 | gene=PVW1_130044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | transcript_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | location=CAJZCX010000006:1736926-1738323(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476207.1         -            465 6503at5820           -            386   5.4e-16   57.1   2.5   2   2   2.9e-13   9.2e-11   39.9   0.1    72   188   122   237   112   275 0.87 | transcript=PVW1_130044700_t1 | gene=PVW1_130044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | transcript_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | location=CAJZCX010000006:1736926-1738323(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 6503at5820           -            386     3e-14   51.4   1.5   1   3   3.8e-05     0.012   13.2   0.0    13    62     4    47     2    60 0.87 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 6503at5820           -            386     3e-14   51.4   1.5   2   3   3.8e-07   0.00012   19.8   0.5    75   140   128   192   121   211 0.85 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 6503at5820           -            386     3e-14   51.4   1.5   3   3   7.8e-06    0.0025   15.4   0.0   199   288   348   442   344   460 0.74 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
