#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476126.1         -            304 8326at5820           -            292  2.9e-213  704.8   2.2   1   1  4.8e-216  3.2e-213  704.6   2.2     1   292     1   292     1   292 1.00 | transcript=PVW1_130040900_t1 | gene=PVW1_130040900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | location=CAJZCX010000006:1574831-1576985(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480653.1         -            307 8326at5820           -            292   1.4e-88  295.5   3.2   1   1   2.6e-91   1.8e-88  295.2   3.2    27   291    18   282     5   283 0.97 | transcript=PVW1_070032700_t1 | gene=PVW1_070032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | location=CAJZCX010000011:1210037-1210960(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480625.1         -            516 8326at5820           -            292   2.5e-85  284.9   2.4   1   1   5.2e-88   3.5e-85  284.4   2.4    29   287   225   489   213   494 0.95 | transcript=PVW1_070030300_t1 | gene=PVW1_070030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1107178-1108896(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479185.1         -            308 8326at5820           -            292   8.2e-78  260.2   1.6   1   1   1.5e-80     1e-77  259.8   1.6    28   287    21   281     7   286 0.96 | transcript=PVW1_080031400_t1 | gene=PVW1_080031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | location=CAJZCX010000009:1205820-1206746(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 8326at5820           -            292   3.6e-67  225.3   1.5   1   1   1.9e-69   1.3e-66  223.4   1.5    32   285   541   829   532   834 0.83 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485099.1         -            564 8326at5820           -            292   6.8e-66  221.1   1.2   1   1   1.5e-68     1e-65  220.5   1.2    41   286    66   326    50   332 0.90 | transcript=PVW1_010021800_t1 | gene=PVW1_010021800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | location=CAJZCX010000016:755455-757677(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 8326at5820           -            292   4.2e-65  218.5   0.5   1   1     1e-67   6.9e-65  217.8   0.5    50   282   415   648   377   654 0.92 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475871.1         -           1000 8326at5820           -            292   4.3e-47  159.4   2.1   1   2   6.3e-50   4.3e-47  159.4   2.1    55   287   283   525   265   530 0.87 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475871.1         -           1000 8326at5820           -            292   4.3e-47  159.4   2.1   2   2       1.1   7.2e+02   -2.2   0.0   158   188   752   782   749   789 0.86 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 8326at5820           -            292     2e-37  127.6   0.8   1   2   4.1e-06    0.0028   15.5   0.0    29    95  1155  1224  1143  1234 0.81 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 8326at5820           -            292     2e-37  127.6   0.8   2   2   1.9e-33   1.3e-30  105.2   0.6    81   279  1277  1523  1272  1530 0.75 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
