#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472135.1         -            943 4272at5820           -            672         0 1062.5  49.2   1   5     8e-21   3.7e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 4272at5820           -            672         0 1062.5  49.2   2   5   5.7e-18   2.6e-15   54.1   1.5    66   168   132   243   107   249 0.67 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 4272at5820           -            672         0 1062.5  49.2   3   5  3.2e-157  1.5e-154  514.3  11.2   164   400   265   501   254   526 0.94 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 4272at5820           -            672         0 1062.5  49.2   4   5  6.3e-134  2.9e-131  437.3   7.6   417   636   637   856   628   868 0.95 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 4272at5820           -            672         0 1062.5  49.2   5   5   7.8e-06    0.0036   14.0   1.1   627   661   881   915   876   940 0.80 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476894.1         -            730 4272at5820           -            672     1e-11   42.3   0.0   1   2      0.76   3.5e+02   -2.5   0.1   441   494   434   486   426   502 0.77 | transcript=PVW1_090028800_t1 | gene=PVW1_090028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXJ6] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXJ6] | location=CAJZCX010000007:1092673-1094865(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476894.1         -            730 4272at5820           -            672     1e-11   42.3   0.0   2   2   2.2e-14     1e-11   42.3   0.0   512   606   562   656   551   660 0.92 | transcript=PVW1_090028800_t1 | gene=PVW1_090028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXJ6] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXJ6] | location=CAJZCX010000007:1092673-1094865(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476703.1         -            681 4272at5820           -            672   1.1e-09   35.5   3.0   1   1   3.7e-12   1.7e-09   34.9   3.0   471   600   493   622   479   640 0.93 | transcript=PVW1_090019600_t1 | gene=PVW1_090019600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI7] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI7] | location=CAJZCX010000007:693750-695795(-) | protein_length=681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4272at5820           -            672   6.7e-09   33.0   3.8   1   4   1.4e-11   6.7e-09   33.0   3.8   243   378   110   245    94   250 0.90 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4272at5820           -            672   6.7e-09   33.0   3.8   2   4   2.5e-05     0.012   12.3  23.3   196   389   251   456   246   463 0.83 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4272at5820           -            672   6.7e-09   33.0   3.8   3   4    0.0047       2.2    4.8   2.4   358   397   462   501   450   512 0.88 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4272at5820           -            672   6.7e-09   33.0   3.8   4   4       1.2   5.6e+02   -3.1   6.3    34   121   668   760   661   795 0.62 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473585.1         -            443 4272at5820           -            672     5e-08   30.1   2.6   1   1   2.1e-10   9.8e-08   29.1   2.6   547   640   341   434   331   442 0.81 | transcript=PVW1_120050900_t1 | gene=PVW1_120050900 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1K4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1K4] | location=CAJZCX010000004:1908001-1909501(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481681.1         -            441 4272at5820           -            672   1.2e-07   28.8   9.0   1   3   0.00011     0.053   10.2   0.6   183   310    66   193    52   193 0.92 | transcript=PVW1_060021400_t1 | gene=PVW1_060021400 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | location=CAJZCX010000012:689438-690763(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481681.1         -            441 4272at5820           -            672   1.2e-07   28.8   9.0   2   3    0.0003      0.14    8.8   4.2   319   421   130   230   116   243 0.80 | transcript=PVW1_060021400_t1 | gene=PVW1_060021400 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | location=CAJZCX010000012:689438-690763(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
