#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483526.1         -            649 6276at5820           -            493  5.1e-267  884.5   2.3   1   2  2.3e-263  1.8e-260  862.9   0.0     2   458    10   520     9   536 0.96 | transcript=PVW1_030025600_t1 | gene=PVW1_030025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:879917-881866(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483526.1         -            649 6276at5820           -            493  5.1e-267  884.5   2.3   2   2   3.4e-07   0.00026   18.0   3.9   457   493   604   640   593   640 0.86 | transcript=PVW1_030025600_t1 | gene=PVW1_030025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:879917-881866(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472478.1         -            472 6276at5820           -            493   4.9e-07   27.0   5.4   1   1   8.9e-10   6.7e-07   26.6   4.6   235   331   199   300   185   309 0.82 | transcript=PVW1_140064700_t1 | gene=PVW1_140064700 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyadenylation factor subunit 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL04] | transcript_product=Polyadenylation factor subunit 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL04] | location=CAJZCX010000003:2601309-2602967(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483398.1         -            327 6276at5820           -            493   1.9e-05   21.7   0.2   1   1   4.1e-08   3.1e-05   21.1   0.2   241   340   133   234   118   238 0.90 | transcript=PVW1_030019800_t1 | gene=PVW1_030019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | transcript_product=Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7I9] | location=CAJZCX010000014:654686-656107(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 6276at5820           -            493   3.3e-05   21.0   5.4   1   3    0.0036       2.7    4.7   0.5   267   327   272   338   230   344 0.73 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 6276at5820           -            493   3.3e-05   21.0   5.4   2   3   3.4e-06    0.0025   14.7   0.0   287   327   380   422   353   434 0.82 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 6276at5820           -            493   3.3e-05   21.0   5.4   3   3     0.026        20    1.9   0.1   296   317   476   497   440   498 0.78 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 6276at5820           -            493   0.00056   16.9   6.0   1   2   8.8e-05     0.067   10.1   1.2   273   325   103   156    77   163 0.58 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 6276at5820           -            493   0.00056   16.9   6.0   2   2   0.00029      0.22    8.4   0.2   285   391   196   313   166   321 0.70 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 6276at5820           -            493     0.005   13.8   0.2   1   3       3.1   2.3e+03   -4.9   3.3    51    86    18    55    14    97 0.48 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 6276at5820           -            493     0.005   13.8   0.2   2   3   6.6e-06     0.005   13.8   0.2   293   332   284   323   271   332 0.86 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 6276at5820           -            493     0.005   13.8   0.2   3   3     0.026        19    2.0   0.1   293   321   324   355   321   364 0.75 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 6276at5820           -            493     0.009   12.9   0.1   1   1   1.8e-05     0.014   12.4   0.1   266   319   344   401   326   410 0.82 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 6276at5820           -            493     0.073    9.9  13.6   1   3      0.16   1.2e+02   -0.7   0.0   283   307   374   398   368   407 0.85 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 6276at5820           -            493     0.073    9.9  13.6   2   3    0.0008      0.61    6.9   2.1   274   331   397   465   379   469 0.69 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 6276at5820           -            493     0.073    9.9  13.6   3   3   0.00034      0.25    8.2   5.5   282   392   456   568   455   575 0.83 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6276at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6276at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6276at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:46 2026
# [ok]
