#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477255.1         -            783 4072at5820           -            548  8.8e-295  976.7  56.8   1   2  1.9e-172  8.3e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477255.1         -            783 4072at5820           -            548  8.8e-295  976.7  56.8   2   2  2.8e-128  1.2e-125  418.4  13.2   325   548   552   781   549   781 0.97 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 4072at5820           -            548   8.3e-52  174.7  79.0   1   4     4e-10   1.7e-07   28.4  29.8    59   432    86   489    47   498 0.70 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 4072at5820           -            548   8.3e-52  174.7  79.0   2   4   2.7e-23   1.2e-20   71.9   2.0   434   542   547   655   524   659 0.90 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 4072at5820           -            548   8.3e-52  174.7  79.0   3   4    0.0093         4    4.1  23.1    25   388   814  1225   805  1244 0.68 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 4072at5820           -            548   8.3e-52  174.7  79.0   4   4   1.9e-27   8.2e-25   85.6   1.3   379   541  1271  1431  1250  1436 0.94 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473897.1         -           1568 4072at5820           -            548     2e-44  150.4  27.0   1   1   4.5e-47     2e-44  150.4  27.0    28   545   359   905   330   908 0.83 | transcript=PVW1_120074000_t1 | gene=PVW1_120074000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2909197-2913903(+) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479356.1         -           1376 4072at5820           -            548     3e-41  139.9  86.3   1   3   2.8e-21   1.2e-18   65.2  43.5     4   326   199   531   183   536 0.78 | transcript=PVW1_080043300_t1 | gene=PVW1_080043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1641768-1645898(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479356.1         -           1376 4072at5820           -            548     3e-41  139.9  86.3   2   3   5.3e-07   0.00023   18.1  20.5   275   426   971  1130   966  1137 0.81 | transcript=PVW1_080043300_t1 | gene=PVW1_080043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1641768-1645898(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479356.1         -           1376 4072at5820           -            548     3e-41  139.9  86.3   3   3   4.7e-22     2e-19   67.8   6.3   435   545  1247  1353  1219  1356 0.92 | transcript=PVW1_080043300_t1 | gene=PVW1_080043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1641768-1645898(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473127.1         -            998 4072at5820           -            548   8.4e-34  115.3  65.0   1   2   0.00018     0.079    9.7  41.3    24   252   329   579   300   604 0.60 | transcript=PVW1_120017400_t1 | gene=PVW1_120017400 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG16] | transcript_product=ABC transporter B family member 6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG16] | location=CAJZCX010000004:581150-584146(+) | protein_length=998 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
