#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478779.1         -            975 3405at5820           -            606         0 1054.5 153.2   1   6  3.4e-116  5.1e-113  377.2  41.9     1   214    29   254    29   264 0.94 | transcript=PVW1_080013500_t1 | gene=PVW1_080013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:419876-422803(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478779.1         -            975 3405at5820           -            606         0 1054.5 153.2   2   6   2.1e-57   3.2e-54  183.0  16.2   206   316   282   391   273   397 0.96 | transcript=PVW1_080013500_t1 | gene=PVW1_080013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:419876-422803(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478779.1         -            975 3405at5820           -            606         0 1054.5 153.2   3   6   7.6e-07    0.0011   16.0   0.8   309   338   451   480   437   489 0.83 | transcript=PVW1_080013500_t1 | gene=PVW1_080013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:419876-422803(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478779.1         -            975 3405at5820           -            606         0 1054.5 153.2   4   6   5.1e-16   7.8e-13   46.3   4.3   327   376   512   565   498   574 0.80 | transcript=PVW1_080013500_t1 | gene=PVW1_080013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:419876-422803(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478779.1         -            975 3405at5820           -            606         0 1054.5 153.2   5   6   0.00026      0.39    7.7   1.7   371   406   675   706   663   732 0.76 | transcript=PVW1_080013500_t1 | gene=PVW1_080013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:419876-422803(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478779.1         -            975 3405at5820           -            606         0 1054.5 153.2   6   6  2.2e-139  3.3e-136  453.8  50.2   383   606   751   975   726   975 0.96 | transcript=PVW1_080013500_t1 | gene=PVW1_080013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:419876-422803(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475947.1         -           1060 3405at5820           -            606     4e-09   34.1  96.9   1   2   8.5e-06     0.013   12.6  47.3    24   290    27   294     6   312 0.63 | transcript=PVW1_130034900_t1 | gene=PVW1_130034900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1288088-1291270(+) | protein_length=1060 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475947.1         -           1060 3405at5820           -            606     4e-09   34.1  96.9   2   2   4.2e-07   0.00064   16.9  41.5   383   597   815  1046   794  1051 0.72 | transcript=PVW1_130034900_t1 | gene=PVW1_130034900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1288088-1291270(+) | protein_length=1060 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475341.1         -            103 3405at5820           -            606      0.26    8.3   5.6   1   1   0.00017      0.26    8.2   5.6   302   382    11    94     1   102 0.71 | transcript=PVW1_130009100_t1 | gene=PVW1_130009100 | organism=Plasmodium_vivax_PvW1 | gene_product=Signal recognition particle 14 kDa protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI42] | transcript_product=Signal recognition particle 14 kDa protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI42] | location=CAJZCX010000006:201780-202356(+) | protein_length=103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477231.1         -            324 3405at5820           -            606      0.47    7.4   4.4   1   1   0.00043      0.65    6.9   4.4   329   381   233   287   204   298 0.77 | transcript=PVW1_090048800_t1 | gene=PVW1_090048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1959374-1960348(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3405at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:44 2026
# [ok]
