#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   1   7   4.8e-43   1.4e-39  134.7   1.1     1   107    29   140    29   146 0.94 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   2   7   1.5e-80   4.4e-77  258.7  31.0   110   312   219   451   206   459 0.89 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   3   7   2.9e-21   8.9e-18   62.6   0.1   312   363   479   530   472   534 0.94 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   4   7     0.034     1e+02   -0.4   0.0   361   384   591   614   589   618 0.82 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   5   7   3.3e-17     1e-13   49.2   0.5   376   418   652   694   644   699 0.92 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   6   7   2.5e-94   7.5e-91  304.2  17.3   412   643   736  1016   726  1018 0.88 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472524.1         -           1177 1697at5820           -            721  5.1e-272  903.1  75.6   7   7   2.3e-34     7e-31  105.9   0.0   640   720  1089  1176  1087  1177 0.95 | transcript=PVW1_140068800_t1 | gene=PVW1_140068800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2750882-2754415(-) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482426.1         -           1053 1697at5820           -            721   0.00031   17.9   0.1   1   2     0.033     1e+02   -0.4   0.0   194   260   174   240   165   242 0.81 | transcript=PVW1_040015000_t1 | gene=PVW1_040015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:451849-455258(+) | protein_length=1053 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482426.1         -           1053 1697at5820           -            721   0.00031   17.9   0.1   2   2   5.8e-07    0.0017   15.4   0.0   677   720  1005  1048   990  1049 0.91 | transcript=PVW1_040015000_t1 | gene=PVW1_040015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:451849-455258(+) | protein_length=1053 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1697at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:12 2026
# [ok]
