#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473974.1         -            596 6335at5820           -            474  5.5e-258  854.7  59.2   1   2  5.6e-200  3.8e-197  654.1  49.2     1   364     1   395     1   413 0.96 | transcript=PVW1_120078700_t1 | gene=PVW1_120078700 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | location=CAJZCX010000004:3101955-3103981(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473974.1         -            596 6335at5820           -            474  5.5e-258  854.7  59.2   2   2   4.8e-64   3.2e-61  205.9   2.3   367   473   489   595   473   596 0.94 | transcript=PVW1_120078700_t1 | gene=PVW1_120078700 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | location=CAJZCX010000004:3101955-3103981(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6335at5820           -            474   1.3e-11   42.3  14.8   1   2   2.9e-11     2e-08   31.8   2.3   227   355   225   353   186   366 0.84 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6335at5820           -            474   1.3e-11   42.3  14.8   2   2   3.1e-06    0.0021   15.2   4.8   193   323   380   507   369   539 0.75 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477918.1         -            986 6335at5820           -            474   7.7e-10   36.4   0.1   1   4      0.13        90   -0.0   0.5   236   261   110   135    75   191 0.82 | transcript=PVW1_110036300_t1 | gene=PVW1_110036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1351858-1355007(+) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477918.1         -            986 6335at5820           -            474   7.7e-10   36.4   0.1   2   4      0.76   5.1e+02   -2.5   1.8   247   294   225   277   200   285 0.72 | transcript=PVW1_110036300_t1 | gene=PVW1_110036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1351858-1355007(+) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477918.1         -            986 6335at5820           -            474   7.7e-10   36.4   0.1   3   4      0.28   1.9e+02   -1.1   2.4   193   239   413   455   384   475 0.66 | transcript=PVW1_110036300_t1 | gene=PVW1_110036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1351858-1355007(+) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477918.1         -            986 6335at5820           -            474   7.7e-10   36.4   0.1   4   4   1.1e-12   7.7e-10   36.4   0.1   265   339   520   594   515   602 0.94 | transcript=PVW1_110036300_t1 | gene=PVW1_110036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1351858-1355007(+) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481752.1         -            512 6335at5820           -            474   2.5e-09   34.8  10.9   1   1   5.6e-12   3.8e-09   34.2  10.9   189   391    94   289    55   305 0.83 | transcript=PVW1_060024600_t1 | gene=PVW1_060024600 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | transcript_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | location=CAJZCX010000012:804272-805810(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6335at5820           -            474   3.7e-08   30.9  38.4   1   2   2.3e-08   1.6e-05   22.2  15.6   195   364   121   289    96   301 0.83 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6335at5820           -            474   3.7e-08   30.9  38.4   2   2   8.9e-06     0.006   13.7  14.7   198   336   318   460   300   492 0.74 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
